214
id_ESTADO|ID_DISTRITO|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|PAN|PRI|PRD|PVEM|PT|MC|PANAL|MORENA|PH|ES|PRI_PVEM|PRD_PT|CI_1|CI_2|NUM_VOTOS_CAN_NREG|NUM_VOTOS_NULOS|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|TIPO_SECCION|LISTA_NOMINAL|CIRCUNSCRIPCION|MODIFICADO
1|1|430|C|1|0|74|76|35|23|23|6|14|2|5|1|||||0|14|2015|6|7|18|51|27.072|1|2|622|2|
1|2|555|C|2|0|63|63|4|11|12|7|11|13|5|5|||||1|11|2015|6|7|18|49|6.86|1|1|652|2|
1|2|589|C|1|0|50|49|8|18|5|3|4|5|3|4|||||0|14|2015|6|7|18|41|2.221|1|2|698|2|
1|3|184|C|1|0|65|40|2|9|2|2|7|15|6|6|||||0|17|2015|6|7|18|35|12.383|1|1|413|2|
1|3|210|C|1|0|139|69|3|12|2|9|5|30|2|7|||||3|20|2015|6|7|18|40|15.562|1|1|616|2|
1|3|248|C|1|0|24|50|4|11|2|0|4|14|5|5|||||0|2|2015|6|7|18|39|40.142|1|1|396|2|
1|3|326|C|3|0|90|48|7|6|3|8|15|24|7|11|||||1|20|2015|6|7|18|46|13.537|1|2|677|2|
5|2|206|C|1|0|48|117|2|7|2|2|6|16|2|5|3||||0|6|2015|6|7|18|54|44.28|1|1|579|2|
5|2|465|B|1|0|39|100|4|7|2|5|18|9|2|0|0||||0|3|2015|6|7|18|34|29.436|1|1|476|2|
5|2|1065|C|1|0|27|88|1|4|3|0|10|2|1|1|2||||0|2|2015|6|7|18|32|0.858|1|1|418|2|
5|3|327|C|1|0|119|83|6|3|0|3|9|15|3|15|1||||0|4|2015|6|7|18|52|4.278|1|1|599|2|
5|3|349|B|1|0|43|104|2|8|1|3|3|8|2|11|2||||0|2|2015|6|7|18|40|43.795|1|1|513|2|
5|3|441|C|1|0|57|78|10|6|2|2|20|11|3|17|0||||0|7|2015|6|7|18|44|39.103|1|1|479|2|
5|3|693|C|1|0|50|138|0|8|2|3|59|1|6|4|1||||0|8|2015|6|7|18|33|15.458|1|1|679|2|
5|4|800|C|2|0|98|105|4|8|5|2|47|15|13|8|3||||0|13|2015|6|7|18|51|15.463|1|1|629|2|
5|4|834|C|3|0|50|107|6|7|1|7|16|20|6|18|0||||0|8|2015|6|7|18|36|0.62|1|1|590|2|
5|4|977|C|2|0|73|122|8|9|11|5|24|17|11|16|1||||0|14|2015|6|7|18|56|27.853|1|1|606|2|
5|4|982|C|1|0|58|134|4|11|3|8|22|12|13|13|1||||1|17|2015|6|7|18|40|21.914|1|1|592|2|
5|4|1005|B|1|0|48|219|6|13|4|6|15|10|21|6|6||||0|19|2015|6|7|18|56|5.828|1|2|736|2|
5|4|1647|B|1|0|22|108|2|4|5|3|5|8|3|9|2||||0|10|2015|6|7|18|48|51.256|1|1|389|2|
5|4|1649|B|1|0|40|131|4|10|2|4|12|11|5|14|0||||0|9|2015|6|7|18|44|53.976|1|1|480|2|
5|5|303|C|1|0|34|137|11|13|1|5|5|9|2|1|1||||0|9|2015|6|7|18|44|19.093|1|2|380|2|
5|5|543|S|1|0|2|3|2|1|0|0|2|5|0|0|0||||0|0|2015|6|7|18|45|24.67|1|1|0|2|
5|5|1258|S|1|0|33|28|2|2|3|10|8|13|2|3|0||||0|4|2015|6|7|18|39|13.047|1|1|0|2|
5|5|1482|B|1|0|49|184|5|2|4|0|5|17|2|1|1||||1|3|2015|6|7|18|34|58.475|1|2|402|2|
5|5|1488|B|1|0|5|70|1|3|2|1|1|1|2|0|0||||0|4|2015|6|7|18|44|43.511|1|2|154|2|
5|5|1575|B|1|0|65|52|4|10|5|16|20|35|3|11|1||||0|10|2015|6|7|18|47|29.739|1|1|482|2|
5|6|1314|C|11|0|61|79|1|16|2|8|9|8|7|8|5||||1|6|2015|6|7|18|54|26.605|1|2|737|2|
5|6|1316|C|1|0|72|87|6|11|0|6|6|12|6|1|2||||0|6|2015|6|7|18|49|18.249|1|1|408|2|
5|6|1528|C|1|0|58|80|3|16|0|5|14|13|3|4|2||||0|9|2015|6|7|18|50|21.023|1|1|419|2|
5|7|792|C|1|0|38|109|3|17|5|2|15|11|4|10|2||||0|15|2015|6|7|18|50|12.444|1|1|539|2|
5|7|805|B|1|0|36|146|6|12|2|5|13|10|6|4|1||||0|11|2015|6|7|18|52|4.959|2|1|462|2|
5|7|893|C|1|0|55|72|3|2|0|5|13|14|11|8|0||||0|10|2015|6|7|18|54|45.928|1|1|416|2|
7|4|670|B|1|0|6|53|4|139|1|5|25|4|2|2|10||||0|13|2015|6|7|18|33|59.888|1|2|528|3|
7|9|1609|C|3|0|10|34|6|69|5|2|1|20|4|8|3||||0|24|2015|6|7|18|47|23.922|2|1|672|3|
7|9|1725|C|2|0|11|7|5|8|3|2|25|7|11|1|1||||0|1|2015|6|7|18|36|46.269|2|1|509|3|
7|11|594|E|1|0|11|19|3|7|1|0|0|3|1|0|0||||0|5|2015|6|7|18|44|42.126|1|2|291|3|
7|11|790|B|1|0|1|9|31|66|12|13|3|9|7|0|6||||0|12|2015|6|7|18|34|37.302|1|2|603|3|
7|11|1759|E|1|0|13|48|19|45|8|12|2|28|0|1|0||||0|6|2015|6|7|18|36|10.544|1|2|433|3|
9|3|302|B|1|0|43|23|38|14|1|3|8|54|10|22|2|0|||0|12|2015|6|7|18|55|24.077|1|1|481|4|
9|23|394|B|1|0|20|19|114|4|4|10|8|75|6|14||1|||0|26|2015|6|7|18|46|39.703|1|1|742|4|
10|1|199|C|1|0|26|100|5|12|23|21|22|17|3|9|8||||0|16|2015|6|7|18|54|54.385|1|1|624|1|
10|1|204|C|7|0|37|91|3|11|27|28|14|21|4|10|5||||0|0|2015|6|7|18|41|2.84|1|1|722|1|
10|1|376|C|1|0|46|146|28|8|28|13|6|12|4|4|0||||0|7|2015|6|7|18|56|46.234|1|2|612|1|
10|2|519|B|1|0|49|78|5|9|3|8|6|14|11|10|4|0|||0|13|2015|6|7|18|55|51.871|1|1|476|1|
10|2|714|C|1|0|55|74|1|7|1|3|4|18|5|7|0|0|||0|5|2015|6|7|18|39|37.661|1|1|406|1|
10|2|756|B|1|0|23|146|71|13|7|3|8|44|2|4|2|2|||0|9|2015|6|7|18|51|45.414|1|2|669|1|
10|3|8|B|1|0|36|78|3|7|7|0|11|10|0|3|2||||0|5|2015|6|7|18|34|17.255|1|2|380|1|
10|3|22|B|1|0|62|89|5|5|9|6|6|9|2|4|0||||0|7|2015|6|7|18|43|57.575|1|2|457|1|
10|3|34|B|1|0|6|57|0|2|14|9|1|4|0|0|7||||1|0|2015|6|7|18|28|24.02|1|2|197|1|
10|3|39|B|1|0|18|99|0|4|10|1|4|7|1|1|1||||0|0|2015|6|7|18|37|54.019|1|2|269|1|
10|3|66|B|1|0|53|81|51|9|2|1|14|8|1|2|1||||0|12|2015|6|7|18|52|51.944|1|1|556|1|
10|3|75|B|1|0|32|36|11|5|0|0|3|11|0|1|0||||1|3|2015|6|7|18|47|11.18|1|1|382|1|
10|3|105|B|1|0|17|113|63|36|17|2|0|13|0|2|5||||0|10|2015|6|7|18|40|3.901|1|1|712|1|
10|3|842|B|1|0|31|108|2|3|13|3|1|18|1|6|2||||0|6|2015|6|7|18|50|16.425|1|2|320|1|
10|3|880|B|1|0|18|98|1|17|1|2|0|5|2|1|5||||0|9|2015|6|7|18|54|31.042|1|2|397|1|
10|3|888|C|2|0|11|21|0|24|0|0|2|5|2|4|1||||0|2|2015|6|7|18|34|56.385|1|2|642|1|
10|3|906|B|1|0|91|186|3|7|12|1|28|8|0|0|0||||0|3|2015|6|7|18|49|38.75|1|1|636|1|
10|3|915|B|1|0|28|97|3|6|1|2|13|9|0|1|2||||0|6|2015|6|7|18|43|58.027|1|1|388|1|
10|3|998|B|1|0|57|110|0|9|24|1|2|2|3|3|1||||0|3|2015|6|7|18|46|50.929|1|2|376|1|
