14
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PT|PVEM|MC|MORENA|PES|RSP|FPM|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PVEM_PT_MORENA|PVEM_PT|PVEM_MORENA|PT_MORENA|CI1|CNR|NULOS|TOTAL|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
1|1|422|B|1|0|1|477|6|3|0|E0|0||78|38|59|70|9|13|3|57|5|2|1|2|0|4|1|0|0|0|0|0|11|276|551|2021|6|6|20|35|30|1|N
6|2|172|C|1|0|1|427|6|9|0|E0|0||4|9|30|5|15|80|13|71|12|3|5|0|0|0|0|0|0|0|0|0|3|246|492|2021|6|6|21|10|42|1|N
7|11|1461|C|2|0|3|593|95|22|0|E0|0||115|8|44|6|9|170|14|38|40|7|4|0|0|0|0|0|0|0|0|0|26|372|738|2021|6|6|22|27|38|1|N
8|9|1340|B|1|0|2|600|32|21|0|E0|0||94|96|79|4|1|4|110|47|39|2|1|0|1|1|0|1|0|0|0|0|6|392|784|2021|6|6|21|43|38|1|N
13|4|14|C|1|0|2|592|2|10|0|E0|0||12|4|151|7|7|5|3|764|7|5|20|1|0|1|0|0|0|0|0|0|0|18|993|2021|6|6|20|33|42|1|N
13|7|1221|C|1|0|1|523|61|18|0|E0|0||108|34|53|4|2|7|5|750|1|1|5|1|4|0|0|0|0|0|0|0|1|10|878|2021|6|6|19|42|21|1|N
14|1|35|C|1|0|3|700|3|1|0|E0|0||91|30|106|2|10|6|232|57|1|2|0|138|136|32|108|73|16|60|64|0|0|4|1077|2021|6|6|20|30|59|1|N
14|7|2711|C|9|0|1|746|102|7|0|E0|0||92|53|62|0|8|19|67|78|7|1|6|115|115|53|62|105|27|97|86|0|0|5|966|2021|6|6|20|56|30|1|N
14|14|801|B|1|0|1|558|41|14|0|E0|0||2|54|28|1|0|3|141|35|3|0|1|83|82|55|29|38|3|38|35|0|0|6|635|2021|6|6|20|30|10|1|N
14|19|2783|C|1|0|1|687|109|19|0|E0|0||126|28|18|28|1|28|79|169|5|12|29|1|0|0|0|0|0|0|0|0|10|408|816|2021|6|6|20|54|47|1|N
20|1|1091|E|1|0|3|395|183|9|0|E0|0||121|7|34|4|6|37|16|118|6|6|14|1|3|0|0|1|0|0|0|0|0|271|524|2021|6|6|21|33|24|1|N
20|5|2464|B|1|0|1|617|76|19|0|E0|0||3|6|41|3|6|15|13|210|4|7|13|50|47|9|44|231|21|225|216|0|0|10|1171|2021|6|6|22|17|46|1|N
27|4|430|C|4|0|2|736|4|10|0|E0|0||83|6|97|15|10|12|7|638|13|3|2|0|0|0|0|0|0|0|0|0|0|0|803|2021|6|6|21|14|53|1|N
30|12|4322|C|1|0|1|392|192|15|0|E0|0||25|109|15|2|2|8|11|71|2|2|2|126|124|111|0|81|10|72|73|0|0|200|1021|2021|6|6|21|8|10|1|N
