ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|NUMERO_ARE|NUMERO_ZORE|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO
1|1|358|B|1|0|32|5|U|727|3
1|1|362|B|1|0|17|5|U|594|3
1|1|365|B|1|0|16|3|R|364|3
1|1|367|B|1|0|16|3|M|599|3
1|1|375|C|1|0|21|4|U|672|3
1|1|391|C|3|0|36|7|R|643|4
1|1|410|E|1|1|41|8|M|485|5
1|1|415|B|1|0|80|15|M|699|6
1|1|422|B|1|0|78|14|U|477|6
1|1|431|C|1|0|99|18|U|416|7
1|1|433|B|1|0|99|18|M|428|7
1|1|432|B|1|0|100|18|U|649|7
1|1|446|B|1|0|101|16|R|542|7
1|1|452|B|1|0|120|21|U|674|8
1|1|453|B|1|0|120|21|M|528|8
1|1|454|C|2|0|119|21|M|502|8
1|1|460|B|1|0|123|22|U|583|9
1|1|462|C|1|0|127|22|M|612|9
1|1|473|C|8|0|115|20|M|744|10
1|1|479|C|3|0|131|23|M|675|11
1|2|90|B|1|0|44|7|U|668|1
1|2|105|B|1|0|55|9|U|583|1
1|2|114|B|1|0|58|8|U|444|1
1|2|118|C|4|0|64|10|U|649|1
1|2|123|B|1|0|105|18|U|663|1
1|2|141|B|1|0|105|18|U|497|1
1|2|153|B|1|0|103|16|U|491|1
1|2|155|E|1|8|130|21|U|719|1
1|2|156|E|1|6|114|19|U|679|1
1|2|160|B|1|0|117|18|U|500|1
1|2|317|B|1|0|24|5|M|636|1
1|2|504|B|1|0|69|11|U|471|1
1|2|562|C|1|0|85|15|U|451|1
1|2|563|C|1|0|86|15|U|440|1
1|2|569|B|1|0|88|23|U|390|1
1|2|572|E|1|1|89|23|U|742|1
1|2|589|C|7|0|93|24|M|689|1
1|2|589|C|10|0|93|24|M|689|1
1|2|589|E|1|1|95|24|M|689|1
1|2|611|C|2|0|21|5|U|631|1
1|3|2|B|1|0|12|2|U|457|1
1|3|13|C|1|0|19|4|U|397|1
1|3|33|B|1|0|35|6|U|402|1
1|3|37|C|1|0|41|7|U|524|1
1|3|51|C|1|0|15|3|U|568|1
1|3|221|C|1|0|84|12|U|479|1
1|3|229|B|1|0|89|16|U|381|1
1|3|244|B|1|0|92|16|U|562|1
1|3|249|C|1|0|82|15|U|660|1
1|3|279|B|1|0|46|7|U|609|1
1|3|297|C|1|0|67|11|U|420|1
1|3|301|C|1|0|70|13|U|725|1
1|3|301|C|4|0|71|13|U|725|1
1|3|302|C|1|0|72|13|U|639|1
1|3|323|E|2|0|145|21|M|733|1
1|3|327|C|1|0|127|25|M|725|1
1|3|333|B|1|0|151|24|R|745|1
1|3|621|C|3|0|137|22|U|693|1
1|3|628|B|1|0|141|23|U|423|1
1|3|629|C|1|0|142|23|R|604|1
2|1|377|C|1|0|5|1|U|601|2
2|1|380|B|1|0|7|2|U|731|2
2|1|383|B|1|0|9|2|U|669|2
2|1|398|B|1|0|11|3|U|728|2
2|1|398|S|1|0|15|3|U|0|2
2|1|468|C|2|0|54|9|U|509|2
2|1|469|C|8|0|52|9|U|681|2
2|1|470|C|11|0|59|10|U|733|2
2|1|480|C|1|0|48|8|U|696|2
2|1|501|C|9|0|65|11|U|720|2
2|1|501|C|11|0|65|11|U|720|2
2|1|501|C|14|0|66|11|U|720|2
2|1|502|B|1|0|67|11|U|704|2
2|1|502|C|2|0|67|11|U|704|2
2|1|502|C|10|0|69|11|U|703|2
2|1|516|C|2|0|41|7|U|640|2
2|1|550|B|1|0|113|19|R|414|2
2|1|553|C|1|0|97|16|M|500|2
2|1|555|C|1|0|96|16|U|731|2
