NO,ID_ESTADO,ID_DISTRITO,GANA_PRD_PT_MC
1,1,1,PT
2,1,2,MC
3,1,3,PRD
4,2,1,MC
5,2,2,PRD
6,2,3,PRD
7,2,4,PT
8,2,5,PRD
9,2,6,PRD
10,2,7,PRD
11,2,8,MC
12,3,1,PT
13,3,2,MC
14,4,1,PRD
15,4,2,PT
16,5,1,PRD
17,5,2,PRD
18,5,3,MC
19,5,4,PRD
20,5,5,MC
21,5,6,MC
22,5,7,PRD
23,6,1,PT
24,6,2,PRD
25,7,1,PT
26,7,2,PRD
27,7,3,PRD
28,7,4,MC
29,7,5,MC
30,7,6,PRD
31,7,7,PT
32,7,8,MC
33,7,9,PRD
34,7,10,PRD
35,7,11,PRD
36,7,12,MC
37,8,1,PRD
38,8,2,PRD
39,8,3,MC
40,8,4,PRD
41,8,5,MC
42,8,6,PRD
43,8,7,MC
44,8,8,PT
45,8,9,MC
46,9,1,PRD
47,9,2,PT
48,9,3,PRD
49,9,4,PRD
50,9,5,MC
51,9,6,PRD
52,9,7,PRD
53,9,8,PRD
54,9,9,PRD
55,9,10,PRD
56,9,11,PRD
57,9,12,PRD
58,9,13,PRD
59,9,14,PRD
60,9,15,PRD
61,9,16,PRD
62,9,17,PRD
63,9,18,PRD
64,9,19,PRD
65,9,20,PT
66,9,21,PRD
67,9,22,PRD
68,9,23,PRD
69,9,24,PRD
70,9,25,PRD
71,9,26,PT
72,9,27,PRD
73,10,1,PT
74,10,2,PRD
75,10,3,PRD
76,10,4,PT
77,11,1,PRD
78,11,2,PRD
79,11,3,PRD
80,11,4,PRD
81,11,5,PRD
82,11,6,MC
83,11,7,PRD
84,11,8,PRD
85,11,9,MC
86,11,10,PT
87,11,11,MC
88,11,12,PRD
89,11,13,PRD
90,11,14,PRD
91,12,1,PRD
92,12,2,PT
93,12,3,PRD
94,12,4,MC
95,12,5,PRD
96,12,6,PRD
97,12,7,PRD
98,12,8,PRD
99,12,9,PRD
100,13,1,PRD
101,13,2,PT
102,13,3,PRD
103,13,4,PRD
104,13,5,PRD
105,13,6,MC
106,13,7,MC
107,14,1,PRD
108,14,2,PRD
109,14,3,MC
110,14,4,PRD
111,14,5,PRD
112,14,6,PRD
113,14,7,PT
114,14,8,PRD
115,14,9,PT
116,14,10,PT
