NO,ID_ESTADO,ID_DISTRITO,GANA_PRI_PVEM
1,2,1,PRI
2,2,2,PRI
3,2,3,PRI
4,2,4,PRI
5,2,5,PVEM
6,2,6,PRI
7,2,7,PVEM
8,2,8,PRI
9,4,2,PVEM
10,6,1,PRI
11,6,2,PRI
12,7,1,PVEM
13,7,2,PRI
14,7,4,PRI
15,7,5,PRI
16,7,6,PRI
17,7,7,PRI
18,7,9,PVEM
19,7,11,PRI
20,7,12,PRI
21,9,1,PRI
22,9,2,PRI
23,9,3,PRI
24,9,4,PRI
25,9,5,PRI
26,9,6,PVEM
27,9,7,PVEM
28,9,8,PVEM
29,9,9,PVEM
30,9,10,PRI
31,9,11,PRI
32,9,12,PVEM
33,9,13,PVEM
34,9,14,PVEM
35,9,15,PRI
36,9,16,PVEM
37,9,17,PVEM
38,9,18,PVEM
39,9,19,PRI
40,9,20,PRI
41,9,21,PRI
42,9,22,PRI
43,9,23,PRI
44,9,24,PVEM
45,9,25,PRI
46,9,26,PRI
47,9,27,PVEM
48,11,1,PRI
49,11,2,PVEM
50,11,3,PRI
51,11,4,PRI
52,11,5,PRI
53,11,6,PVEM
54,11,7,PRI
55,11,8,PVEM
56,11,9,PRI
57,11,10,PVEM
58,11,11,PRI
59,11,12,PVEM
60,11,13,PRI
61,11,14,PRI
62,12,4,PVEM
63,12,9,PRI
64,14,1,PRI
65,14,2,PRI
66,14,3,PVEM
67,14,4,PRI
68,14,5,PRI
69,14,6,PRI
70,14,7,PRI
71,14,8,PRI
72,14,9,PRI
73,14,10,PVEM
74,14,11,PRI
75,14,12,PRI
76,14,13,PRI
77,14,14,PVEM
78,14,15,PRI
79,14,16,PRI
80,14,17,PRI
81,14,18,PVEM
82,14,19,PRI
83,15,1,PVEM
84,15,2,PRI
85,15,3,PRI
86,15,4,PRI
87,15,5,PRI
88,15,6,PRI
89,15,7,PRI
90,15,8,PRI
91,15,9,PRI
92,15,10,PRI
93,15,11,PRI
94,15,12,PRI
95,15,13,PRI
96,15,14,PRI
97,15,15,PVEM
98,15,16,PRI
99,15,17,PVEM
100,15,18,PRI
101,15,19,PRI
102,15,20,PRI
103,15,21,PRI
104,15,22,PRI
105,15,23,PRI
106,15,24,PRI
107,15,25,PRI
108,15,26,PRI
109,15,27,PRI
110,15,28,PRI
111,15,29,PRI
112,15,30,PRI
113,15,31,PRI
114,15,32,PRI
115,15,33,PRI
116,15,34,PRI
117,15,35,PRI
118,15,36,PRI
119,15,37,PRI
120,15,38,PRI
121,15,39,PRI
122,15,40,PRI
123,16,8,PRI
124,16,10,PVEM
125,17,1,PRI
126,17,2,PRI
127,17,3,PRI
128,17,4,PRI
129,17,5,PRI
130,19,1,PVEM
131,19,2,PRI
132,19,3,PRI
133,19,4,PVEM
134,19,5,PRI
135,19,6,PRI
136,19,7,PRI
137,19,8,PRI
138,19,9,PRI
139,19,10,PVEM
140,19,11,PRI
141,19,12,PRI
142,21,1,PRI
143,21,2,PRI
144,21,3,PRI
145,21,4,PRI
146,21,5,PRI
147,21,6,PRI
148,21,7,PRI
149,21,8,PRI
150,21,9,PRI
151,21,10,PRI
152,21,11,PVEM
153,21,12,PRI
154,21,13,PRI
155,21,14,PRI
156,21,15,PRI
157,22,2,PVEM
158,23,1,PRI
159,23,2,PRI
160,23,3,PRI
161,24,2,PRI
162,24,5,PVEM
163,24,6,PRI
164,27,1,PRI
165,27,2,PRI
166,27,3,PRI
167,27,4,PVEM
168,27,5,PRI
169,27,6,PRI
170,30,1,PRI
171,30,2,PRI
172,30,3,PRI
173,30,4,PRI
174,30,5,PRI
175,30,6,PRI
176,30,7,PVEM
177,30,8,PRI
178,30,9,PRI
179,30,10,PRI
180,30,11,PVEM
181,30,12,PRI
182,30,13,PVEM
183,30,14,PRI
184,30,15,PRI
185,30,16,PRI
186,30,17,PRI
187,30,18,PRI
188,30,19,PRI
189,30,20,PRI
190,30,21,PRI
191,31,1,PRI
192,31,2,PRI
193,31,3,PRI
194,31,4,PRI
195,31,5,PRI
196,32,1,PRI
197,32,2,PRI
198,32,3,PVEM
199,32,4,PVEM
