ID_ESTADO|ID_DISTRITO|ID_CURCUNSCRIPCION|NUM_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL
1|1|2|12118|116|139417|151535|39608|48006|9931|7923|5725|2354|25754
1|2|2|14746|316|165430|180176|51868|51427|19674|9863|6389|5336|20557
1|3|2|12132|211|144979|157111|57879|45798|14269|8126|3808|3279|11609
2|1|1|3911|69|135650|139561|46166|46984|16631|10025|3690|3648|8437
2|3|1|3892|73|145086|148978|34343|52368|30660|9264|8760|4609|5009
2|5|1|3735|131|142574|146309|49071|37277|27752|10341|6786|5709|5507
2|7|1|4421|93|167527|171948|47966|60217|26392|13752|7447|4980|6680
3|1|1|9687|73|107038|116725|43546|34617|12851|2261|5564|3553|4573
4|1|3|17689|157|183529|201218|50947|84263|17309|4271|4669|7402|14511
4|2|3|7104|72|174166|181270|58762|67996|19590|10756|6128|5639|5223
5|1|2|11173|90|142799|153972|55600|57821|13006|5607|3654|2473|4548
5|2|2|11806|61|168788|180594|61822|68066|19066|5314|5436|3193|5830
5|3|2|11423|91|167544|178967|69921|58451|17665|8817|4982|3285|4332
5|4|2|12553|85|143509|156062|48677|61712|14017|5677|4244|2412|6685
5|5|2|13316|81|162907|176223|56992|65046|20143|6144|5654|3223|5624
5|6|2|11924|129|178788|190712|76960|50999|27570|4631|6660|4118|7721
5|7|2|9872|68|136452|146324|54405|52343|11941|3745|3602|1985|8363
6|1|5|5758|110|161942|167700|57609|61872|17395|7377|10671|3071|3837
6|2|5|3944|42|129693|133637|50661|56057|9421|6956|3088|1645|1823
7|1|3|11915|38|187287|199202|25702|47424|39549|54287|12676|4650|2961
7|3|3|13597|42|158824|172421|23479|39837|27791|46973|5427|2641|12634
7|5|3|11581|105|156727|168308|19137|58493|31196|34329|5467|3428|4572
7|7|3|8012|64|131295|139307|30817|31880|20797|27121|7941|2909|9766
7|8|3|15653|93|163808|179461|10913|40910|22030|72181|8207|2678|6796
7|9|3|13357|230|155618|168975|21959|28766|41167|32458|9321|6487|15230
7|10|3|14775|49|149361|164136|30210|35694|20620|47750|4993|2511|7534
7|11|3|10847|59|160848|171695|30221|46306|31211|38255|9239|2828|2729
7|12|3|8561|106|145785|154346|45385|40957|18180|21657|5625|3209|10666
8|7|1|14906|98|140244|155150|32366|66791|17842|6846|5356|3102|7843
8|8|1|15727|164|160133|175860|55360|63092|14568|8361|5895|2754|9939
9|4|4|5184|158|161423|166607|24013|26901|64806|9260|19090|12075|5120
9|6|4|5488|181|163616|169104|22278|32224|68037|9596|14586|11246|5468
9|8|4|6386|211|185675|192061|37208|39524|65762|11127|15233|11345|5265
9|11|4|5251|193|155299|160550|24928|29962|62649|8816|13764|10013|4974
9|12|4|6578|180|170836|177414|33622|37326|58174|11299|14129|10500|5606
9|14|4|5606|158|164008|169614|21860|27657|69417|9876|17842|11992|5206
9|16|4|6683|192|185590|192273|38884|32136|69843|10531|15795|11473|6736
9|18|4|4895|174|152597|157492|18802|29674|62616|9645|15267|11145|5274
9|19|4|4725|110|150635|155360|14769|23951|68547|8416|17608|12371|4863
9|22|4|4792|142|148624|153416|12742|23855|66529|9215|18787|12537|4817
9|23|4|6814|234|188284|195098|37781|27565|79642|7880|17918|12496|4768
9|26|4|7745|442|195007|202752|50560|40724|61085|9996|16465|9972|5763
9|27|4|5248|186|153511|158759|16830|31630|61868|10688|14668|10222|7419
10|2|1|16082|82|169905|185987|52503|74525|21569|5918|6465|3642|5201
10|3|1|14985|46|152108|167093|49051|73124|9035|6872|8464|1878|3638
11|1|2|6939|73|124389|131328|49262|46181|9254|10213|2499|1316|5591
11|2|2|8494|63|133043|141537|58889|42192|11028|9600|2572|2655|6044
11|3|2|8541|131|187874|196415|84895|67593|8501|16901|2093|1731|6029
11|4|2|9194|116|161969|171163|65280|59471|12219|12284|3331|2507|6761
11|5|2|8637|132|188153|196790|90437|64141|8105|16546|1942|1720|5130
11|6|2|8259|139|185204|193463|82495|64999|8911|18167|2310|1926|6257
11|7|2|6457|64|159526|165983|66851|61253|10540|13925|1740|1350|3803
11|8|2|7790|70|177836|185626|81077|52443|13642|13262|3759|3138|10445
11|9|2|6472|85|161635|168107|70951|63478|8644|10103|2252|2158|3964
11|10|2|7291|80|141987|149278|61038|38133|13313|16149|3740|2070|7464
11|11|2|6307|26|139351|145658|58503|52399|11100|10115|2946|1300|2962
11|13|2|6900|59|144487|151387|61687|30420|24120|13171|3126|2340|9564
12|3|4|11876|28|140810|152686|6753|54241|53978|2745|5380|5696|11989
12|4|4|6047|109|144567|150614|13108|40741|45430|13695|8681|18479|4324
12|7|4|12660|97|148962|161622|13385|45506|62176|5515|7625|11099|3559
12|8|4|13603|55|140823|154426|30256|34962|49933|11040|8484|3309|2784
13|3|5|12246|53|166362|178608|20785|64373|37677|8600|9948|4537|20389
13|4|5|10841|67|136492|147333|42733|52064|21090|7273|4183|2366|6716
13|7|5|14703|48|172212|186915|33371|64850|32666|7562|7849|5654|20212
14|2|1|6479|90|159722|166201|65457|60838|7811|11396|1579|7831|4720
14|3|1|7324|191|164095|171419|67280|64345|4509|9037|1597|13651|3485
14|6|1|9304|230|195655|204959|73909|64456|13086|12230|4201|22389|5154
14|7|1|5995|128|158788|164783|40499|61451|11111|13012|5635|21400|5552
14|10|1|8672|226|175117|183789|66573|48789|12840|11913|4548|25842|4386
