ID_ESTADO,ID_DISTRITO,NUMERO_AREA_RESPONSABILIDAD,NUMERO_ZONA_RESPONSABILIDAD,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,LISTA_NOMINAL_CASILLA
1,1,6,1,345,1,B,0,687
1,1,13,3,355,1,B,0,693
1,1,14,3,362,2,C,0,698
1,1,15,3,358,1,B,0,645
1,1,17,3,363,1,B,0,610
1,1,32,6,479,1,C,0,732
1,1,35,6,483,1,C,0,426
1,1,36,6,486,2,C,0,679
1,1,38,7,395,2,C,0,520
1,1,39,7,394,5,C,0,737
1,1,41,7,397,1,C,0,717
1,1,42,7,397,7,C,0,717
1,1,50,9,411,5,C,0,659
1,1,52,8,401,3,C,0,613
1,1,54,9,409,1,C,0,460
1,1,55,8,398,1,B,0,599
1,1,57,7,414,1,C,0,579
1,1,59,10,415,5,C,0,649
1,1,65,10,420,1,C,0,532
1,1,66,11,430,1,C,0,622
1,1,70,13,436,3,C,0,717
1,1,71,13,441,1,B,0,490
1,1,74,13,449,1,B,0,678
1,1,74,13,449,2,C,0,678
1,1,76,13,440,5,C,0,729
1,1,77,13,439,1,C,0,575
1,1,79,12,445,2,C,0,616
1,1,80,14,470,1,B,0,653
1,1,80,14,471,1,C,0,525
1,1,87,14,473,2,C,0,696
1,2,1,1,80,2,C,0,724
1,2,3,1,602,1,B,0,704
1,2,8,2,109,1,B,0,576
1,2,11,2,74,1,B,0,557
1,2,13,6,75,1,B,0,622
1,2,17,3,90,3,C,0,726
1,2,22,6,120,1,B,0,747
1,2,24,4,86,6,C,0,734
1,2,31,4,492,1,C,0,451
1,2,32,4,97,1,C,0,464
1,2,33,4,499,1,B,0,453
1,2,34,4,502,1,B,0,397
1,2,34,4,503,1,B,0,606
1,2,40,4,118,2,C,0,678
1,2,45,7,117,1,B,0,527
1,2,45,7,128,1,C,0,436
1,2,45,7,129,1,B,0,473
1,2,46,8,550,1,B,0,655
1,2,47,8,555,2,C,0,652
1,2,58,9,587,1,B,0,447
1,2,59,9,589,1,C,0,698
1,2,64,7,133,1,B,0,560
1,2,67,12,155,2,C,0,705
1,2,82,11,165,1,C,0,687
1,2,86,12,524,1,B,0,462
1,2,88,12,534,1,B,0,443
1,2,92,15,315,2,C,0,685
1,2,99,15,323,1,E,1,599
1,2,101,14,325,3,C,0,739
1,2,104,14,325,1,E,7,679
1,3,3,1,44,4,C,0,714
1,3,6,1,48,1,B,0,600
1,3,9,2,8,1,B,0,562
1,3,12,2,11,1,B,0,622
1,3,12,2,11,1,C,0,622
1,3,13,2,16,1,B,0,417
1,3,17,3,19,1,C,0,507
1,3,18,3,32,1,C,0,567
1,3,19,3,25,1,C,0,442
1,3,19,3,27,1,B,0,524
1,3,23,3,271,1,C,0,427
1,3,24,6,274,1,B,0,750
1,3,26,6,288,1,C,0,389
1,3,27,6,197,1,C,0,394
1,3,28,4,184,1,C,0,413
1,3,34,4,210,1,C,0,616
1,3,39,6,214,1,B,0,502
1,3,43,7,298,1,B,0,578
1,3,47,8,231,1,B,0,674
1,3,50,7,301,3,C,0,725
1,3,51,7,302,1,C,0,523
1,3,51,7,303,1,B,0,654
1,3,52,7,311,1,C,0,534
1,3,57,5,240,1,B,0,680
1,3,59,8,248,1,C,0,396
1,3,62,5,265,1,B,0,406
1,3,62,5,270,2,C,0,725
