1996
iD_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PVEM|PT|PCB|MC|MORENA|PES|RSP|FPM|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PVEM_PT_MORENA|PVEM_PT|PVEM_MORENA|PT_MORENA|CNR|NULOS|TOTAL|MGJG|MPAO|CAP|FAGL|JHR|VBD|JFOG|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
2|1|375|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|376|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|377|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|382|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|383|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|384|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|385|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|386|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|387|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|396|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|397|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|398|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|455|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|456|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|463|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|464|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|465|B|1|0|1|750|2|3|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|466|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|467|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|468|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|469|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|470|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|471|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|472|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|473|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|474|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|475|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|476|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|477|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|478|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|479|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|480|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|481|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|482|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|483|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|484|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|485|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|486|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|487|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|488|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|489|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|490|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|491|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|492|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|493|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
2|1|494|B|1|0|1|750|2|2|0|0|1|ESTRATO_1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
