20
iD_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PVEM|PT|MC|MORENA|PES|RSP|FPM|PANAL|CP|PAN_PRI_PRD_CP|PAN_PRI_PRD|PAN_PRI_CP|PAN_PRD_CP|PRI_PRD_CP|PAN_PRI|PAN_PRD|PAN_CP|PRI_PRD|PRI_CP|PRD_CP|PVEM_PT|CNR|NULOS|TOTAL|OPG|JRGC|AMC|MLRM|AEC|JLRC|JCMM|FJRA|JASG|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
24|1|1|B|1|0|1|750|1|4|0|0|1|ESTRATO_1|1|1|2|1|2|1|2|1|2|1|2|1|2|1|2|1|2|1|2|1|2|1|2|1|2|2|1|40|22|5|2|1|2|1|2|1|1|2021|4|14|13|51|15|2|N
24|1|2|B|1|0|1|750|1|4|0|0|1|ESTRATO_1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|81|45|9|3|3|3|3|3|3|3|2021|4|14|13|52|34|2|N
24|1|3|B|1|0|3|750|1|4|0|0|1|ESTRATO_1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|54|30|6|2|2|2|2|2|2|2|2021|4|14|13|54|22|2|N
24|1|4|B|1|0|3|750|1|4|0|0|1|ESTRATO_1|1|1|2|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|30|18|3|1|1|1|1|1|1|1|2021|4|14|13|56|49|2|N
24|1|5|B|1|0|3|750|1|4|0|0|1|ESTRATO_1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|81|45|9|3|3|3|3|3|3|3|2021|4|14|13|59|1|2|N
24|1|6|B|1|0|3|750|1|4|0|0|1|ESTRATO_1|1|2|3|2|3|2|3|2|3|2|3|2|3|2|3|2|3|2|3|2|3|2|3|2|3|3|2|67|37|8|3|2|3|2|3|2|2|2021|4|14|14|0|54|2|N
24|1|7|B|1|0|3|750|1|4|0|0|1|ESTRATO_1|1|3|2|3|2|3|2|3|2|3|2|3|2|3|2|3|2|3|2|3|2|3|2|3|2|2|3|68|38|7|2|3|2|3|2|3|3|2021|4|14|14|2|27|2|N
24|1|8|B|1|0|3|750|1|4|0|0|1|ESTRATO_1|1|3|6|3|6|3|6|3|6|3|6|3|6|3|6|3|6|3|6|3|6|3|6|3|6|6|3|120|66|15|6|3|6|3|6|3|3|2021|4|14|14|3|33|2|N
24|1|9|B|1|0|3|750|1|4|0|0|1|ESTRATO_1|1|6|3|6|6|3|6|3|6|3|6|3|6|3|6|3|6|3|6|3|6|3|6|3|6|6|3|123|69|15|6|3|6|3|6|3|3|2021|4|14|14|5|37|2|N
24|1|10|B|1|0|3|750|1|4|0|0|1|ESTRATO_1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|81|45|9|3|3|3|3|3|3|3|2021|4|14|14|6|43|2|N
