CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PVEM|PT|MC|NVA_ALIANZA|MORENA|PH|ES|PRI_PVEM|CAND_IND1|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
3|4|CAMPECHE|1|1.00|SAN FRANCISCO DE CAMPECHE|1.00|CAMPECHE|7.00|URBANA|B|48.00|139.00|6.00|6.00|1.00|1.00|12.00|84.00|0.00|1.00|6.00|1.00||305.00|15.00|320.00|468.00|ACTA CASILLA|||http://www.ieec.org.mx/elecciones/2015/actas/GCL7BO.JPG|1|7|1|CAMPECHE|7|U|
3|4|CAMPECHE|1|1.00|SAN FRANCISCO DE CAMPECHE|1.00|CAMPECHE|7.00|URBANA|C01|47.00|113.00|7.00|3.00|6.00|2.00|10.00|91.00|1.00|4.00|5.00|2.00||291.00|13.00|304.00|467.00|ACTA CASILLA|||http://www.ieec.org.mx/elecciones/2015/actas/GEC7C01O4.JPG|1|7|1|CAMPECHE|7|U|
3|4|CAMPECHE|1|1.00|SAN FRANCISCO DE CAMPECHE|1.00|CAMPECHE|10.00|URBANA|B|68.00|94.00|6.00|0.00|1.00|1.00|5.00|62.00|1.00|5.00|7.00|2.00||252.00|8.00|260.00|483.00|ACTA CASILLA|||http://www.ieec.org.mx/elecciones/2015/actas/GEC10BO5.JPG|1|1|1|CAMPECHE|10|U|
3|4|CAMPECHE|1|1.00|SAN FRANCISCO DE CAMPECHE|1.00|CAMPECHE|10.00|URBANA|C01|46.00|99.00|12.00|3.00|2.00|4.00|7.00|58.00|0.00|5.00|3.00|1.00||240.00|13.00|253.00|483.00|ACTA CASILLA|||http://www.ieec.org.mx/elecciones/2015/actas/GEC10C01O7.JPG|1|1|1|CAMPECHE|10|U|
3|4|CAMPECHE|1|1.00|SAN FRANCISCO DE CAMPECHE|1.00|CAMPECHE|11.00|URBANA|B|54.00|139.00|4.00|2.00|1.00|2.00|6.00|45.00|1.00|1.00|7.00|2.00||264.00|12.00|276.00|454.00|ACTA CASILLA|||http://www.ieec.org.mx/elecciones/2015/actas/GEC11BO9.JPG|1|7|1|CAMPECHE|11|U|
3|4|CAMPECHE|1|1.00|SAN FRANCISCO DE CAMPECHE|1.00|CAMPECHE|11.00|URBANA|C01|45.00|130.00|2.00|7.00|6.00|4.00|5.00|73.00|0.00|3.00|5.00|0.00||280.00|14.00|294.00|454.00|ACTA CASILLA|||http://www.ieec.org.mx/elecciones/2015/actas/GCL11C01O.JPG|1|7|1|CAMPECHE|11|U|
3|4|CAMPECHE|1|1.00|SAN FRANCISCO DE CAMPECHE|1.00|CAMPECHE|12.00|URBANA|B|76.00|190.00|5.00|9.00|2.00|0.00|11.00|135.00|2.00|2.00|7.00|3.00||442.00|23.00|465.00|728.00|ACTA CASILLA|||http://www.ieec.org.mx/elecciones/2015/actas/GCL12BO.JPG|1|7|1|CAMPECHE|12|U|
3|4|CAMPECHE|1|1.00|SAN FRANCISCO DE CAMPECHE|1.00|CAMPECHE|12.00|URBANA|C01|80.00|204.00|9.00|8.00|10.00|2.00|6.00|121.00|4.00|5.00|6.00|3.00||458.00|12.00|470.00|727.00|ACTA CASILLA|||http://www.ieec.org.mx/elecciones/2015/actas/GEC12C01O15.JPG|1|7|1|CAMPECHE|12|U|
3|4|CAMPECHE|1|1.00|SAN FRANCISCO DE CAMPECHE|1.00|CAMPECHE|13.00|URBANA|B|118.00|103.00|4.00|2.00|2.00|0.00|13.00|73.00|1.00|2.00|1.00|4.00||323.00|11.00|334.00|578.00|ACTA CASILLA|||http://www.ieec.org.mx/elecciones/2015/actas/GEC13BO17.JPG|1|1|1|CAMPECHE|13|U|
3|4|CAMPECHE|1|1.00|SAN FRANCISCO DE CAMPECHE|1.00|CAMPECHE|13.00|URBANA|C01|95.00|107.00|7.00|1.00|5.00|1.00|11.00|54.00|3.00|3.00|6.00|3.00||296.00|7.00|303.00|578.00|ACTA CASILLA|||http://www.ieec.org.mx/elecciones/2015/actas/GEC13C01O19.JPG|1|1|1|CAMPECHE|13|U|
3|4|CAMPECHE|1|1.00|SAN FRANCISCO DE CAMPECHE|1.00|CAMPECHE|14.00|URBANA|B|56.00|108.00|6.00|3.00|4.00|1.00|5.00|56.00|2.00|2.00|5.00|1.00||249.00|9.00|258.00|504.00|ACTA CASILLA|||http://www.ieec.org.mx/elecciones/2015/actas/GEC14BO22.JPG|1|1|1|CAMPECHE|14|U|
3|4|CAMPECHE|1|1.00|SAN FRANCISCO DE CAMPECHE|1.00|CAMPECHE|14.00|URBANA|C01|64.00|108.00|7.00|3.00|2.00|3.00|5.00|48.00|1.00|1.00|3.00|4.00||249.00|15.00|264.00|504.00|ACTA CASILLA|||http://www.ieec.org.mx/elecciones/2015/actas/GCL14C01O.JPG|1|1|1|CAMPECHE|14|U|
3|4|CAMPECHE|1|1.00|SAN FRANCISCO DE CAMPECHE|1.00|CAMPECHE|21.00|URBANA|B|88.00|164.00|9.00|6.00|5.00|4.00|10.00|78.00|2.00|3.00|7.00|4.00||380.00|11.00|391.00|721.00|ACTA CASILLA|||http://www.ieec.org.mx/elecciones/2015/actas/GEC21BO25.JPG|1|1|1|CAMPECHE|21|U|
3|4|CAMPECHE|1|1.00|SAN FRANCISCO DE CAMPECHE|1.00|CAMPECHE|21.00|URBANA|C01|71.00|177.00|11.00|4.00|4.00|1.00|10.00|86.00|4.00|3.00|5.00|5.00||381.00|7.00|388.00|721.00|ACTA CASILLA|||http://www.ieec.org.mx/elecciones/2015/actas/GCL21C01O.JPG|1|1|1|CAMPECHE|21|U|
3|4|CAMPECHE|1|1.00|SAN FRANCISCO DE CAMPECHE|1.00|CAMPECHE|22.00|URBANA|B|36.00|139.00|3.00|0.00|2.00|0.00|4.00|73.00|7.00|4.00|8.00|3.00||279.00|11.00|290.00|467.00|ACTA CASILLA|||http://www.ieec.org.mx/elecciones/2015/actas/GEC22BO29.JPG|1|1|1|CAMPECHE|22|U|
3|4|CAMPECHE|1|1.00|SAN FRANCISCO DE CAMPECHE|1.00|CAMPECHE|22.00|URBANA|C01|47.00|111.00|1.00|0.00|4.00|1.00|10.00|78.00|6.00|1.00|0.00|1.00||260.00|4.00|264.00|466.00|ACTA CASILLA|||http://www.ieec.org.mx/elecciones/2015/actas/GEC22C01O31.JPG|1|1|1|CAMPECHE|22|U|
3|4|CAMPECHE|1|1.00|SAN FRANCISCO DE CAMPECHE|1.00|CAMPECHE|23.00|URBANA|B|55.00|96.00|4.00|4.00|4.00|1.00|5.00|63.00|5.00|2.00|0.00|1.00||240.00|11.00|251.00|424.00|ACTA CASILLA|||http://www.ieec.org.mx/elecciones/2015/actas/GEC23BO34.JPG|1|1|1|CAMPECHE|23|U|
