CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PT|PVEM|MC|NVA_ALIANZA|MORENA|PH|ES|PPG|COMUN_PRI_PVEM|COMUN_PRD_PT|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1209.00|URBANA|C01|1.00|117.00|73.00|16.00|5.00|17.00|6.00|10.00|4.00|1.00|3.00|3.00|5.00|0.00|261.00|16.00|277.00|591.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1209|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1210.00|URBANA|B|8.00|99.00|91.00|4.00|5.00|12.00|4.00|5.00|2.00|2.00|5.00|3.00|4.00|0.00|244.00|10.00|254.00|613.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1210|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1210.00|URBANA|C01|9.00|102.00|78.00|11.00|3.00|13.00|2.00|8.00|2.00|3.00|2.00|2.00|3.00|0.00|238.00|12.00|250.00|613.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1210|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1210.00|URBANA|C02|9.00|105.00|72.00|9.00|2.00|5.00|0.00|10.00|3.00|4.00|6.00|6.00|4.00|0.00|235.00|18.00|253.00|613.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1210|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1210.00|URBANA|C03|3.00|100.00|69.00|5.00|6.00|11.00|6.00|11.00|4.00|3.00|4.00|2.00|11.00|0.00|235.00|11.00|246.00|612.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1210|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1211.00|URBANA|B|8.00|140.00|98.00|9.00|8.00|31.00|5.00|19.00|5.00|1.00|8.00|6.00|7.00|0.00|345.00|10.00|355.00|725.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1211|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1211.00|URBANA|C01|3.00|125.00|107.00|10.00|5.00|26.00|1.00|18.00|3.00|1.00|5.00|7.00|4.00|1.00|315.00|26.00|342.00|725.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1211|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1211.00|URBANA|C02|7.00|146.00|72.00|11.00|2.00|27.00|3.00|16.00|5.00|1.00|4.00|6.00|13.00|0.00|313.00|16.00|329.00|725.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1211|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1213.00|MIXTA|C04|6.00|137.00|81.00|2.00|3.00|18.00|11.00|7.00|1.00|1.00|4.00|4.00|5.00|0.00|280.00|10.00|290.00|716.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1213|M|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1213.00|MIXTA|C05|6.00|123.00|101.00|8.00|3.00|20.00|2.00|11.00|2.00|2.00|0.00|8.00|5.00|1.00|291.00|11.00|303.00|716.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1213|M|
