CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PT|PVEM|MC|NVA_ALIANZA|MORENA|PH|ES|PRI_PVEM|PRD_PT_NVA_ALIANZA|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
5.00|16.00|MICHOACAN|11|19.00|TAĆMBARO|1.00|ACUITZIO|1.00|MIXTA|B|102.00|99.00|160.00|12.00|9.00|3.00|12.00|4.00|0.00|0.00|7.00|8.00|3.00|416.00|17.00|436.00|703.00|ACTA CASILLA||||11|19|1|ACUITZIO|1|M|
5.00|16.00|MICHOACAN|11|19.00|TAĆMBARO|1.00|ACUITZIO|1.00|MIXTA|C01|90.00|104.00|170.00|7.00|9.00|8.00|9.00|6.00|0.00|0.00|2.00|10.00|1.00|415.00|25.00|441.00|703.00|ACTA CASILLA||||11|19|1|ACUITZIO|1|M|
5.00|16.00|MICHOACAN|11|19.00|TAĆMBARO|1.00|ACUITZIO|2.00|MIXTA|B|106.00|78.00|160.00|7.00|11.00|7.00|15.00|12.00|0.00|0.00|0.00|4.00|0.00|400.00|16.00|416.00|692.00|ACTA CASILLA||||11|19|1|ACUITZIO|2|M|
5.00|16.00|MICHOACAN|11|19.00|TAĆMBARO|1.00|ACUITZIO|2.00|MIXTA|C01|114.00|79.00|158.00|8.00|17.00|7.00|12.00|7.00|0.00|0.00|1.00|13.00|1.00|416.00|22.00|439.00|692.00|ACTA CASILLA||||11|19|1|ACUITZIO|2|M|
5.00|16.00|MICHOACAN|11|19.00|TAĆMBARO|1.00|ACUITZIO|3.00|MIXTA|B|93.00|46.00|105.00|3.00|5.00|5.00|4.00|4.00|0.00|0.00|5.00|7.00|1.00|277.00|18.00|296.00|453.00|ACTA CASILLA||||11|19|1|ACUITZIO|3|M|
5.00|16.00|MICHOACAN|11|19.00|TAĆMBARO|1.00|ACUITZIO|3.00|MIXTA|C01|85.00|53.00|107.00|6.00|6.00|6.00|7.00|3.00|0.00|0.00|2.00|5.00|0.00|280.00|17.00|297.00|453.00|ACTA CASILLA||||11|19|1|ACUITZIO|3|M|
5.00|16.00|MICHOACAN|11|19.00|TAĆMBARO|1.00|ACUITZIO|4.00|URBANA|B|90.00|52.00|101.00|8.00|7.00|5.00|5.00|6.00|0.00|0.00|1.00|3.00|1.00|278.00|24.00|303.00|493.00|ACTA CASILLA||||11|19|1|ACUITZIO|4|U|
5.00|16.00|MICHOACAN|11|19.00|TAĆMBARO|1.00|ACUITZIO|4.00|URBANA|C01|78.00|67.00|101.00|6.00|7.00|2.00|5.00|4.00|0.00|0.00|3.00|2.00|3.00|275.00|17.00|295.00|493.00|ACTA CASILLA||||11|19|1|ACUITZIO|4|U|
5.00|16.00|MICHOACAN|11|19.00|TAĆMBARO|1.00|ACUITZIO|5.00|MIXTA|B|91.00|71.00|135.00|13.00|11.00|1.00|6.00|8.00|0.00|0.00|2.00|3.00|0.00|341.00|10.00|351.00|529.00|ACTA CASILLA||||11|19|1|ACUITZIO|5|M|
5.00|16.00|MICHOACAN|11|19.00|TAĆMBARO|1.00|ACUITZIO|5.00|MIXTA|C01|67.00|63.00|148.00|22.00|10.00|1.00|7.00|5.00|0.00|0.00|2.00|7.00|0.00|332.00|25.00|357.00|529.00|ACTA CASILLA||||11|19|1|ACUITZIO|5|M|
5.00|16.00|MICHOACAN|11|19.00|TAĆMBARO|1.00|ACUITZIO|6.00|RURAL|B|38.00|49.00|152.00|11.00|5.00|3.00|19.00|5.00|0.00|0.00|0.00|4.00|0.00|286.00|26.00|312.00|437.00|ACTA CASILLA||||11|19|1|ACUITZIO|6|R|
5.00|16.00|MICHOACAN|11|19.00|TAĆMBARO|1.00|ACUITZIO|7.00|RURAL|B|90.00|42.00|196.00|13.00|6.00|1.00|9.00|3.00|0.00|0.00|1.00|7.00|1.00|368.00|19.00|388.00|585.00|ACTA CASILLA||||11|19|1|ACUITZIO|7|R|
5.00|16.00|MICHOACAN|11|19.00|TAĆMBARO|1.00|ACUITZIO|8.00|RURAL|B|70.00|23.00|88.00|7.00|5.00|2.00|8.00|2.00|0.00|0.00|0.00|4.00|0.00|209.00|13.00|222.00|358.00|ACTA CASILLA||||11|19|1|ACUITZIO|8|R|
5.00|16.00|MICHOACAN|11|19.00|TAĆMBARO|1.00|ACUITZIO|9.00|RURAL|B|24.00|51.00|77.00|2.00|2.00|2.00|9.00|1.00|0.00|0.00|5.00|3.00|0.00|176.00|4.00|180.00|229.00|ACTA CASILLA||||11|19|1|ACUITZIO|9|R|
5.00|16.00|MICHOACAN|11|19.00|TAĆMBARO|1.00|ACUITZIO|10.00|RURAL|B|27.00|30.00|172.00|1.00|3.00|0.00|7.00|2.00|0.00|0.00|0.00|6.00|0.00|248.00|16.00|264.00|409.00|ACTA CASILLA||||11|19|1|ACUITZIO|10|R|
5.00|16.00|MICHOACAN|11|19.00|TAĆMBARO|1.00|ACUITZIO|10.00|RURAL|C01|44.00|22.00|153.00|4.00|6.00|0.00|0.00|2.00|0.00|0.00|2.00|2.00|0.00|235.00|16.00|251.00|408.00|ACTA CASILLA||||11|19|1|ACUITZIO|10|R|
5.00|16.00|MICHOACAN|12|21.00|COALCOḾN DE V́ZQUEZ PALLARES|2.00|AGUILILLA|11.00|MIXTA|B|41.00|138.00|164.00|4.00|4.00|5.00|0.00|8.00|0.00|0.00|1.00|5.00|0.00|370.00|0.00|370.00|707.00|ACTA CASILLA||||12|21|2|AGUILILLA|11|M|
