CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO_7jun15|ID_MUNICIPIO_Catalogo_17dic2014|MUNICIPIO_7jun15|MUNICIPIO_Catalogo_17dic2014|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PVEM|NVA_ALIANZA|PRD|PT|PCP|MC|MORENA|PH|ES|PRI_PVEM_NVA_ALIANZA|PRD_PT_PCP|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
2.00|24.00|SAN LUIS POTOSI|1|1.00|MATEHULA|6.00|6|CATORCE|CATORCE|98.00|MIXTA|B|239.00|157.00|6.00|2.00|8.00|2.00|3.00|1.00|1.00|0.00|0.00|3.00|0.00|1.00|422.00|16.00|439.00|541.00|||||1|1|6|CATORCE|98|M|
2.00|24.00|SAN LUIS POTOSI|1|1.00|MATEHULA|6.00|6|CATORCE|CATORCE|98.00|MIXTA|C01|250.00|166.00|4.00|1.00|11.00|4.00|2.00|1.00|3.00|1.00|1.00|4.00|0.00|0.00|448.00|4.00|452.00|541.00|||||1|1|6|CATORCE|98|M|
2.00|24.00|SAN LUIS POTOSI|1|1.00|MATEHULA|6.00|6|CATORCE|CATORCE|99.00|RURAL|B|67.00|28.00|1.00|1.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|99.00|5.00|104.00|130.00|||||1|1|6|CATORCE|99|R|
2.00|24.00|SAN LUIS POTOSI|1|1.00|MATEHULA|6.00|6|CATORCE|CATORCE|101.00|RURAL|B|79.00|62.00|1.00|2.00|0.00|4.00|1.00|0.00|2.00|1.00|0.00|1.00|0.00|0.00|153.00|6.00|159.00|229.00|||||1|1|6|CATORCE|101|R|
2.00|24.00|SAN LUIS POTOSI|1|1.00|MATEHULA|6.00|6|CATORCE|CATORCE|102.00|RURAL|B|115.00|85.00|2.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|204.00|7.00|211.00|268.00|||||1|1|6|CATORCE|102|R|
2.00|24.00|SAN LUIS POTOSI|1|1.00|MATEHULA|6.00|6|CATORCE|CATORCE|103.00|RURAL|B|179.00|80.00|0.00|2.00|2.00|7.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|271.00|18.00|289.00|366.00|||||1|1|6|CATORCE|103|R|
2.00|24.00|SAN LUIS POTOSI|1|1.00|MATEHULA|6.00|6|CATORCE|CATORCE|105.00|RURAL|B|126.00|97.00|0.00|1.00|0.00|2.00|1.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|229.00|5.00|234.00|294.00|||||1|1|6|CATORCE|105|R|
2.00|24.00|SAN LUIS POTOSI|1|1.00|MATEHULA|6.00|6|CATORCE|CATORCE|106.00|RURAL|B|189.00|106.00|5.00|13.00|1.00|3.00|1.00|4.00|7.00|0.00|0.00|3.00|0.00|0.00|332.00|11.00|343.00|475.00|||||1|1|6|CATORCE|106|R|
2.00|24.00|SAN LUIS POTOSI|1|1.00|MATEHULA|6.00|6|CATORCE|CATORCE|106.00|RURAL|C01|184.00|112.00|4.00|10.00|3.00|6.00|2.00|3.00|7.00|0.00|0.00|5.00|0.00|0.00|336.00|16.00|352.00|475.00|||||1|1|6|CATORCE|106|R|
2.00|24.00|SAN LUIS POTOSI|1|1.00|MATEHULA|6.00|6|CATORCE|CATORCE|107.00|RURAL|B|49.00|67.00|1.00|2.00|0.00|3.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|124.00|6.00|130.00|161.00|||||1|1|6|CATORCE|107|R|
