CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PVEM|PT|MC|NVA_ALIANZA|MORENA|PRI_PVEM_PT_NVA_ALIANZA|PRI_PVEM_PT|PRI_PVEM_NVA_ALIANZA|PRI_PT_NVA_ALIANZA|PVEM_PT_NVA_ALIANZA|PRI_PVEM|PRI_PT|PRI_NVA_ALIANZA|PVEM_PT|PVEM_NVA_ALIANZA|PT_NVA_ALIANZA|CAND_IND1|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|1.00|MIXTO(A)|B|91.00|128.00|1.00|3.00|1.00|91.00|9.00|0.00|1.00|0.00|2.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|22.00|0.00|351.00|13.00|364.00|746.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010001B.pdf|2|11|1|AHUMADA|1|M|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|2.00|URBANO(A)|B|102.00|182.00|0.00|3.00|0.00|80.00|2.00|3.00|1.00|0.00|0.00|0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|24.00|0.00|399.00|10.00|409.00|625.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010002B.pdf|2|11|1|AHUMADA|2|U|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|2.00|URBANO(A)|S01|76.00|69.00|1.00|1.00|2.00|21.00|4.00|1.00|0.00|0.00|0.00|1.00|0.00|2.00|0.00|0.00|0.00|1.00|0.00|41.00|0.00|220.00|0.00|220.00|0.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010002S01.pdf|2|11|1|AHUMADA|2|U|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|3.00|URBANO(A)|B|66.00|118.00|0.00|1.00|2.00|53.00|2.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|18.00|0.00|263.00|4.00|267.00|430.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010003B.pdf|2|11|1|AHUMADA|3|U|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|3.00|URBANO(A)|C01|47.00|150.00|0.00|3.00|0.00|57.00|1.00|1.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|17.00|0.00|278.00|6.00|284.00|430.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010003C01.pdf|2|11|1|AHUMADA|3|U|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|4.00|URBANO(A)|B|56.00|123.00|0.00|0.00|2.00|59.00|4.00|2.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|9.00|0.00|257.00|10.00|267.00|385.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010004B.pdf|2|11|1|AHUMADA|4|U|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|4.00|URBANO(A)|C01|55.00|128.00|1.00|1.00|0.00|38.00|4.00|0.00|1.00|1.00|3.00|0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|24.00|0.00|258.00|8.00|266.00|384.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010004C01.pdf|2|11|1|AHUMADA|4|U|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|5.00|URBANO(A)|B|36.00|140.00|2.00|0.00|0.00|70.00|5.00|0.00|1.00|0.00|0.00|1.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|8.00|0.00|265.00|16.00|281.00|417.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010005B.pdf|2|11|1|AHUMADA|5|U|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|5.00|URBANO(A)|C01|34.00|163.00|1.00|2.00|0.00|66.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|4.00|0.00|273.00|2.00|275.00|417.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010005C01.pdf|2|11|1|AHUMADA|5|U|
1|8|CHIHUAHUA|1|11.00|MEOQUI|1.00|AHUMADA|6.00|MIXTO(A)|B|38.00|118.00|2.00|1.00|2.00|133.00|3.00|0.00|0.00|0.00|1.00|0.00|0.00|2.00|1.00|2.00|0.00|0.00|0.00|10.00|0.00|313.00|5.00|318.00|509.00|ACTA DE CASILLA|||http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/AC2016GO110010006B.pdf|2|11|1|AHUMADA|6|M|
