CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PVEM|PT|MC|NVA_ALIANZA|MORENA|ES|PRI_PVEM_PT_NVA_ALIANZA|PRI_PVEM_PT|PRI_PVEM_NVA_ALIANZA|PRI_PT_NVA_ALIANZA|PVEM_PT_NVA_ALIANZA|PRI_PVEM|PRI_PT|PRI_NVA_ALIANZA|PVEM_PT|PVEM_NVA_ALIANZA|PT_NVA_ALIANZA|VOTOS_CAND_NREG_17ene16|VOTOS_VALIDOS_17ene16|VOTOS_NULOS_17ene16|VOTOS_TOTAL_17ene16|LISTA_NOMINAL_17ene16|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
5|6|COLIMA|0|COLIMA|0.00||0.00|EXTRANJERO|M|10.00|17.00|0.00|0.00|0.00|6.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|34.00|1.00|35.00|||||JE2015L_06_01_0000_1_M_0_2.jpg|||||||
5|6|COLIMA|1|COLIMA|1.00|COLIMA|1.00|URBANO(A)|B|137.00|151.00|5.00|8.00|5.00|99.00|20.00|2.00|0.00|4.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|432.00|6.00|438.00|688.00|ACTA DE CASILLA|||JE2015L_06_01_0001_1_B_0_2.jpg|1|6|1|COLIMA|1|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|1.00|URBANO(A)|C01|166.00|141.00|6.00|3.00|1.00|101.00|26.00|1.00|1.00|11.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|458.00|6.00|464.00|687.00|ACTA DE CASILLA|||JE2015L_06_01_0001_1_C_0_2.jpg|1|6|1|COLIMA|1|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|1.00|URBANO(A)|C02|131.00|181.00|7.00|5.00|4.00|94.00|19.00|1.00|2.00|3.00|0.00|0.00|0.00|0.00|1.00|1.00|1.00|0.00|0.00|0.00|0.00|450.00|2.00|452.00|687.00|ACTA DE CASILLA|||JE2015L_06_01_0001_2_C_0_2.jpg|1|6|1|COLIMA|1|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|1.00|URBANO(A)|C03|136.00|151.00|11.00|6.00|4.00|103.00|20.00|9.00|1.00|3.00|0.00|0.00|0.00|0.00|1.00|0.00|3.00|0.00|0.00|0.00|0.00|448.00|5.00|453.00|687.00|ACTA DE CASILLA|||JE2015L_06_01_0001_3_C_0_2.jpg|1|6|1|COLIMA|1|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|1.00|URBANO(A)|C04|156.00|155.00|6.00|2.00|2.00|110.00|18.00|2.00|0.00|4.00|0.00|0.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|457.00|2.00|459.00|687.00|ACTA DE CASILLA|||JE2015L_06_01_0001_4_C_0_2.jpg|1|6|1|COLIMA|1|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|1.00|URBANO(A)|C05|136.00|166.00|3.00|4.00|6.00|118.00|18.00|2.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|456.00|5.00|461.00|687.00|ACTA DE CASILLA|||JE2015L_06_01_0001_5_C_0_2.jpg|1|6|1|COLIMA|1|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|1.00|URBANO(A)|C06|128.00|156.00|8.00|5.00|4.00|112.00|30.00|4.00|0.00|3.00|0.00|0.00|0.00|0.00|3.00|1.00|1.00|0.00|1.00|0.00|0.00|456.00|3.00|459.00|687.00|ACTA DE CASILLA|||JE2015L_06_01_0001_6_C_0_2.jpg|1|6|1|COLIMA|1|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|2.00|URBANO(A)|B|79.00|96.00|1.00|1.00|4.00|60.00|5.00|3.00|0.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|252.00|2.00|254.00|392.00|ACTA DE CASILLA|||JE2015L_06_01_0002_1_B_0_2.jpg|1|6|1|COLIMA|2|U|
5|6|COLIMA|1|COLIMA|1.00|COLIMA|2.00|URBANO(A)|C01|75.00|86.00|2.00|3.00|5.00|56.00|8.00|1.00|0.00|4.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|240.00|3.00|243.00|392.00|RECUENTO(SRA)|||JE2015L_06_01_9_GPO1.pdf|1|6|1|COLIMA|2|U|
