CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PVEM|MC|NVA_ALIANZA|PAC|PS|MORENA|ES|PRI_PVEM_NVA_ALIANZA_PS|PRI_NVA_ALIANZA_PVEM|PRI_PS_PVEM|PRI_PS_NVA_ALIANZA|PVEM_PS_NVA_ALIANZA|PRI_PVEM|PRI_NVA_ALIANZA|PRI_PS|PVEM_NVA_ALIANZA|PVEM_PS|NVA_ALIANZA_PS|CAND_IND1|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|1.00|AMAXAC DE GUERRERO|1.00|MIXTO(A)|B|26.00|93.00|146.00|24.00|6.00|5.00|20.00|1.00|34.00|4.00|0.00|1.00|0.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|7.00|0.00|369.00|8.00|377.00|526.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|3|8|1|AMAXAC DE GUERRERO|1|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|1.00|AMAXAC DE GUERRERO|1.00|MIXTO(A)|C01|24.00|112.00|148.00|24.00|5.00|5.00|10.00|1.00|32.00|3.00|0.00|0.00|0.00|0.00|1.00|2.00|0.00|0.00|0.00|0.00|0.00|13.00|0.00|380.00|10.00|390.00|525.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|3|8|1|AMAXAC DE GUERRERO|1|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|1.00|AMAXAC DE GUERRERO|2.00|URBANO(A)|B|41.00|139.00|152.00|14.00|2.00|6.00|23.00|0.00|30.00|4.00|3.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|6.00|0.00|421.00|8.00|429.00|628.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|3|8|1|AMAXAC DE GUERRERO|2|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|1.00|AMAXAC DE GUERRERO|2.00|URBANO(A)|C01|39.00|117.00|180.00|25.00|9.00|14.00|26.00|3.00|35.00|1.00|0.00|2.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|9.00|0.00|461.00|9.00|470.00|627.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|3|8|1|AMAXAC DE GUERRERO|2|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|1.00|AMAXAC DE GUERRERO|2.00|URBANO(A)|C02|38.00|146.00|148.00|18.00|1.00|8.00|20.00|2.00|37.00|1.00|0.00|0.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|12.00|0.00|433.00|5.00|438.00|627.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|3|8|1|AMAXAC DE GUERRERO|2|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|1.00|AMAXAC DE GUERRERO|2.00|URBANO(A)|C03|46.00|134.00|145.00|18.00|2.00|11.00|24.00|1.00|24.00|1.00|1.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|5.00|1.00|414.00|5.00|420.00|627.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|3|8|1|AMAXAC DE GUERRERO|2|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|1.00|AMAXAC DE GUERRERO|2.00|URBANO(A)|C04|35.00|134.00|153.00|14.00|2.00|8.00|15.00|0.00|34.00|3.00|1.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|9.00|0.00|409.00|9.00|418.00|627.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|3|8|1|AMAXAC DE GUERRERO|2|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|1.00|AMAXAC DE GUERRERO|3.00|URBANO(A)|B|51.00|149.00|204.00|8.00|2.00|10.00|17.00|4.00|33.00|3.00|0.00|0.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|4.00|0.00|487.00|10.00|497.00|718.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|3|8|1|AMAXAC DE GUERRERO|3|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|1.00|AMAXAC DE GUERRERO|3.00|URBANO(A)|C01|48.00|141.00|211.00|26.00|5.00|5.00|42.00|0.00|34.00|0.00|0.00|0.00|0.00|0.00|0.00|3.00|1.00|0.00|0.00|0.00|0.00|9.00|0.00|525.00|8.00|533.00|717.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|3|8|1|AMAXAC DE GUERRERO|3|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|1.00|AMAXAC DE GUERRERO|3.00|URBANO(A)|C02|58.00|138.00|155.00|31.00|7.00|9.00|22.00|2.00|33.00|2.00|0.00|0.00|0.00|0.00|0.00|2.00|0.00|0.00|1.00|0.00|0.00|10.00|1.00|470.00|11.00|482.00|717.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|3|8|1|AMAXAC DE GUERRERO|3|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|1.00|AMAXAC DE GUERRERO|3.00|URBANO(A)|C03|60.00|150.00|157.00|32.00|5.00|7.00|34.00|1.00|33.00|0.00|1.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|482.00|15.00|497.00|717.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|3|8|1|AMAXAC DE GUERRERO|3|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|1.00|AMAXAC DE GUERRERO|4.00|MIXTO(A)|B|68.00|121.00|195.00|31.00|4.00|2.00|33.00|4.00|41.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|2.00|1.00|503.00|15.00|519.00|627.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|3|8|1|AMAXAC DE GUERRERO|4|M|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|2.00|APETATITLAN DE ANTONIO CARVAJAL|5.00|URBANO(A)|B|88.00|105.00|171.00|1.00|6.00|2.00|5.00|0.00|29.00|2.00|1.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|7.00|1.00|418.00|16.00|435.00|592.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|2|8|2|APETATITLAN DE ANTONIO CARVAJAL|5|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|2.00|APETATITLAN DE ANTONIO CARVAJAL|5.00|URBANO(A)|C01|61.00|121.00|175.00|5.00|6.00|3.00|5.00|2.00|31.00|2.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|8.00|0.00|420.00|11.00|431.00|592.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|2|8|2|APETATITLAN DE ANTONIO CARVAJAL|5|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|2.00|APETATITLAN DE ANTONIO CARVAJAL|5.00|URBANO(A)|C02|77.00|143.00|126.00|3.00|8.00|8.00|3.00|0.00|35.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|9.00|0.00|414.00|14.00|428.00|591.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|2|8|2|APETATITLAN DE ANTONIO CARVAJAL|5|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|2.00|APETATITLAN DE ANTONIO CARVAJAL|5.00|URBANO(A)|C03|66.00|128.00|155.00|5.00|1.00|6.00|5.00|1.00|37.00|2.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|5.00|0.00|413.00|9.00|422.00|591.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|2|8|2|APETATITLAN DE ANTONIO CARVAJAL|5|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|2.00|APETATITLAN DE ANTONIO CARVAJAL|6.00|URBANO(A)|B|56.00|87.00|88.00|1.00|2.00|0.00|9.00|0.00|11.00|0.00|3.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|6.00|0.00|265.00|8.00|273.00|413.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|2|8|2|APETATITLAN DE ANTONIO CARVAJAL|6|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|2.00|APETATITLAN DE ANTONIO CARVAJAL|6.00|URBANO(A)|C01|71.00|64.00|96.00|1.00|4.00|0.00|9.00|0.00|15.00|5.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|5.00|0.00|272.00|7.00|279.00|413.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|2|8|2|APETATITLAN DE ANTONIO CARVAJAL|6|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|2.00|APETATITLAN DE ANTONIO CARVAJAL|7.00|URBANO(A)|B|32.00|59.00|92.00|1.00|3.00|0.00|5.00|0.00|11.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|4.00|0.00|207.00|10.00|217.00|305.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|2|8|2|APETATITLAN DE ANTONIO CARVAJAL|7|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|2.00|APETATITLAN DE ANTONIO CARVAJAL|8.00|URBANO(A)|B|94.00|153.00|158.00|1.00|7.00|5.00|11.00|0.00|27.00|2.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|15.00|0.00|474.00|11.00|485.00|708.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|2|8|2|APETATITLAN DE ANTONIO CARVAJAL|8|U|
4|29|TLAXCALA|2|8.00|CONTLA DE JUAN CUAMATZI|2.00|APETATITLAN DE ANTONIO CARVAJAL|8.00|URBANO(A)|C01|115.00|147.00|153.00|3.00|3.00|3.00|10.00|1.00|30.00|2.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|8.00|0.00|476.00|13.00|489.00|708.00|Recuento|||http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf|2|8|2|APETATITLAN DE ANTONIO CARVAJAL|8|U|
