CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PT|PVEM|NVA_ALIANZA|MORENA|ES|PRD_PAN|PRI_PVEM_NVA_ALIANZA|PRI_PVEM|PRI_NVA_ALIANZA|PVEM_NVA_ALIANZA|CAND_IND1|CAND_IND2|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
2|32|ZACATECAS|4|4.00|GUADALUPE|16.00|GUADALUPE|470.00|MIXTO(A)|C13|19.00|99.00|22.00|30.00|7.00|4.00|128.00|27.00|4.00|1.00|1.00|1.00|0.00|5.00|8.00|0.00|356.00|10.00|366.00|724.00|ACTA CASILLA||||4|4|17|GUADALUPE|470|M|
2|32|ZACATECAS|4|8.00|OJOCALIENTE|37.00|GENERAL PANFILO NATERA|448.00|MIXTO(A)|C01|12.00|51.00|21.00|52.00|32.00|21.00|20.00|25.00|3.00|2.00|6.00|1.00|2.00|2.00|3.00|0.00|253.00|3.00|256.00|436.00|ACTA CASILLA||||4|8|16|GENERAL PANFILO NATERA|448|M|
2|32|ZACATECAS|2|13.00|JALPA|18.00|JALPA|569.00|URBANO(A)|B|75.00|96.00|9.00|4.00|10.00|16.00|99.00|15.00|4.00|0.00|1.00|0.00|0.00|2.00|4.00|0.00|335.00|4.00|339.00|598.00|ACTA CASILLA||||2|13|19|JALPA|569|U|
2|32|ZACATECAS|2|10.00|JEREZ|19.00|JEREZ|615.00|URBANO(A)|B|56.00|131.00|13.00|8.00|8.00|3.00|70.00|38.00|0.00|1.00|2.00|0.00|0.00|5.00|8.00|0.00|343.00|19.00|362.00|596.00|ACTA CASILLA||||2|10|20|JEREZ|615|U|
2|32|ZACATECAS|3|1.00|ZACATECAS|58.00|ZACATECAS|1820.00|URBANO(A)|B|15.00|90.00|21.00|11.00|3.00|1.00|158.00|23.00|1.00|1.00|1.00|0.00|0.00|6.00|5.00|0.00|336.00|4.00|340.00|643.00|ACTA CASILLA||||3|1|56|ZACATECAS|1820|U|
2|32|ZACATECAS|1|6.00|FRESNILLO|13.00|FRESNILLO|174.00|URBANO(A)|B|32.00|71.00|17.00|6.00|4.00|0.00|117.00|33.00|0.00|1.00|3.00|0.00|0.00|9.00|1.00|7.00|294.00|0.00|301.00|623.00|ACTA CASILLA||||1|6|10|FRESNILLO|174|U|
2|32|ZACATECAS|4|4.00|GUADALUPE|16.00|GUADALUPE|547.00|RURAL|B|6.00|162.00|22.00|10.00|6.00|1.00|52.00|13.00|2.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|275.00|0.00|275.00|371.00|ACTA CASILLA||||4|4|17|GUADALUPE|547|R|
2|32|ZACATECAS|4|8.00|OJOCALIENTE|50.00|TRANCOSO|529.00|URBANO(A)|C02|17.00|112.00|48.00|18.00|11.00|7.00|82.00|35.00|4.00|0.00|2.00|1.00|0.00|2.00|1.00|0.00|340.00|13.00|353.00|525.00|ACTA CASILLA||||4|8|57|TRANCOSO|529|U|
2|32|ZACATECAS|3|16.00|RIO GRANDE|40.00|RIO GRANDE|1207.00|URBANO(A)|B|68.00|91.00|29.00|4.00|7.00|1.00|82.00|14.00|6.00|0.00|0.00|0.00|0.00|1.00|2.00|0.00|305.00|12.00|317.00|582.00|ACTA CASILLA||||3|16|39|RIO GRANDE|1207|U|
2|32|ZACATECAS|1|17.00|SOMBRERETE|43.00|SOMBRERETE|1290.00|MIXTO(A)|C02|85.00|29.00|23.00|29.00|5.00|5.00|70.00|80.00|10.00|0.00|2.00|0.00|0.00|0.00|3.00|0.00|341.00|9.00|350.00|563.00|GRUPO DE RECUENTO||||1|17|42|SOMBRERETE|1290|M|
