CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PT|PVEM|PRS|MC|NVA_ALIANZA|MORENA|ES|PAN_PRD_PT_PRS|PAN_PRD_PT|PAN_PRD_PRS|PAN_PT_PRS|PRD_PT_PRS|PAN_PRD|PAN_PT|PAN_PRS|PRD_PT|PRD_PRS|PT_PRS|PRI_PVEM_NVA_ALIANZA|PRI_PVEM|PRI_NVA_ALIANZA|PVEM_NVA_ALIANZA|CAND_IND1|CAND_IND2|CAND_IND3|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|1.00|U|B|47.00|100.00|19.00|14.00|2.00|0.00|6.00|0.00|81.00|6.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|2.00|1.00|0.00|1.00|0.00|44.00|0.00|326.00|20.00|346.00|486.00|||||1|1|1|ACAPONETA|1|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|2.00|M|B|48.00|80.00|29.00|0.00|8.00|0.00|2.00|4.00|61.00|5.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|36.00|0.00|277.00|13.00|290.00|476.00|||||1|1|1|ACAPONETA|2|M|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|2.00|M|C01|48.00|89.00|24.00|4.00|2.00|0.00|11.00|3.00|76.00|4.00|1.00|1.00|0.00|0.00|0.00|5.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|1.00|0.00|25.00|0.00|295.00|19.00|314.00|475.00|||||1|1|1|ACAPONETA|2|M|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|3.00|U|B|60.00|104.00|67.00|2.00|6.00|4.00|10.00|5.00|67.00|1.00|5.00|1.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|2.00|26.00|0.00|362.00|18.00|380.00|651.00|||||1|1|1|ACAPONETA|3|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|3.00|U|C01|52.00|78.00|48.00|2.00|5.00|1.00|16.00|3.00|67.00|2.00|2.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|2.00|1.00|0.00|0.00|0.00|0.00|0.00|1.00|2.00|63.00|0.00|347.00|13.00|360.00|651.00|||||1|1|1|ACAPONETA|3|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|3.00|U|C02|50.00|84.00|48.00|3.00|7.00|3.00|12.00|1.00|78.00|6.00|4.00|0.00|0.00|0.00|0.00|5.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|2.00|51.00|0.00|355.00|9.00|364.00|651.00|||||1|1|1|ACAPONETA|3|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|4.00|U|B|49.00|109.00|43.00|6.00|4.00|0.00|27.00|4.00|122.00|9.00|3.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|3.00|0.00|2.00|0.00|32.00|0.00|414.00|6.00|420.00|672.00|||||1|1|1|ACAPONETA|4|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|5.00|U|B|39.00|59.00|42.00|3.00|4.00|1.00|9.00|7.00|72.00|5.00|2.00|0.00|0.00|0.00|0.00|4.00|0.00|0.00|0.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|32.00|0.00|281.00|18.00|299.00|456.00|||||1|1|1|ACAPONETA|5|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|5.00|U|C01|59.00|61.00|42.00|4.00|13.00|1.00|3.00|3.00|55.00|2.00|1.00|2.00|0.00|1.00|1.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|1.00|30.00|0.00|281.00|13.00|294.00|456.00|||||1|1|1|ACAPONETA|5|U|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|6.00|U|B|51.00|79.00|36.00|4.00|4.00|0.00|12.00|2.00|60.00|2.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|2.00|0.00|38.00|0.00|291.00|9.00|300.00|418.00|||||1|1|1|ACAPONETA|6|U|
