V1,V2
-114.81,32.50
-114.79,32.50
-114.77,32.49
-114.75,32.49
-114.73,32.48
-114.71,32.47
-114.69,32.47
-114.67,32.46
-114.65,32.46
-114.63,32.45
-114.61,32.44
-114.59,32.44
-114.57,32.43
-114.55,32.43
-114.53,32.42
-114.51,32.41
-114.49,32.41
-114.47,32.40
-114.45,32.40
-114.43,32.39
-114.41,32.39
-114.39,32.38
-114.37,32.37
-114.35,32.37
-114.33,32.36
-114.31,32.36
-114.29,32.35
-114.27,32.34
-114.25,32.34
-114.23,32.33
-114.21,32.33
-114.19,32.32
-114.17,32.31
-114.15,32.31
-114.13,32.30
-114.11,32.30
-114.09,32.29
-114.07,32.28
-114.06,32.28
-114.04,32.27
-114.02,32.27
-114.00,32.26
-113.98,32.25
-113.96,32.25
-113.94,32.24
-113.92,32.24
-113.90,32.23
-113.88,32.22
-113.86,32.22
-113.84,32.21
-113.82,32.21
-113.80,32.20
-113.78,32.19
-113.76,32.19
-113.74,32.18
-113.72,32.18
-113.70,32.17
-113.68,32.16
-113.66,32.16
-113.64,32.15
-113.62,32.15
-113.60,32.14
-113.58,32.13
-113.56,32.13
-113.54,32.12
-113.52,32.12
-113.50,32.11
-113.48,32.10
-113.46,32.10
-113.44,32.09
-113.42,32.09
-113.40,32.08
-113.38,32.07
-113.36,32.07
-113.34,32.06
-113.32,32.05
-113.30,32.05
-113.28,32.04
-113.26,32.04
-113.24,32.03
-113.22,32.02
-113.21,32.02
-113.19,32.01
-113.17,32.01
-113.15,32.00
-113.13,31.99
-113.11,31.99
-113.09,31.98
-113.07,31.98
-113.05,31.97
-113.03,31.96
-113.01,31.96
-112.99,31.95
-112.97,31.94
-112.95,31.94
-112.93,31.93
-112.91,31.93
-112.89,31.92
-112.87,31.91
-112.85,31.91
-112.83,31.90
-112.81,31.90
-112.79,31.89
-112.77,31.88
-112.75,31.88
-112.73,31.87
-112.71,31.87
-112.69,31.86
-112.67,31.85
-112.65,31.85
-112.63,31.84
-112.61,31.83
-112.59,31.83
-112.57,31.82
-112.55,31.82
-112.54,31.81
-112.52,31.80
-112.50,31.80
-112.48,31.79
-112.46,31.79
-112.44,31.78
-112.42,31.77
-112.40,31.77
-112.38,31.76
-112.36,31.75
-112.34,31.75
-112.32,31.74
-112.30,31.74
-112.28,31.73
-112.26,31.72
-112.24,31.72
-112.22,31.71
-112.20,31.70
-112.18,31.70
-112.16,31.69
-112.14,31.69
-112.12,31.68
-112.10,31.67
-112.08,31.67
-112.06,31.66
-112.04,31.65
-112.02,31.65
-112.01,31.64
-114.72,32.72
-114.72,32.71
-114.72,32.71
-114.73,32.70
-114.73,32.70
-114.73,32.69
-114.73,32.69
-114.73,32.68
-114.74,32.68
-114.74,32.67
-114.74,32.67
-114.74,32.66
-114.75,32.66
-114.75,32.65
-114.75,32.65
-114.76,32.65
-114.76,32.64
-114.77,32.64
-114.77,32.64
-114.77,32.63
-114.78,32.63
-114.78,32.63
-114.79,32.62
-114.79,32.62
-114.79,32.61
-114.80,32.61
-114.80,32.60
-114.80,32.60
-114.80,32.59
-114.80,32.59
-114.80,32.58
-114.80,32.57
-114.79,32.57
-114.79,32.56
-114.79,32.56
-114.79,32.55
-114.79,32.55
-114.80,32.54
-114.80,32.54
-114.80,32.53
