Date,ASURB,BIMBOA,GFREGIOO,GMEXICOB,LABB
31/3/2017,325.06,46.59,111.71,56.28,22.35
30/3/2017,335.21,46.96,113.27,57.54,22.17
29/3/2017,329.33,47.51,114.21,58.17,22.31
28/3/2017,334.03,48.51,113.40,56.61,22.84
27/3/2017,330.73,48.17,112.07,58.22,23.09
24/3/2017,332.89,47.57,113.62,60.16,23.19
23/3/2017,316.46,47.12,110.95,60.39,23.66
22/3/2017,315.09,48.03,107.56,59.77,23.66
21/3/2017,314.63,46.73,110.79,58.89,23.99
17/3/2017,321.24,47.32,109.61,59.30,24.04
16/3/2017,316.80,46.29,108.85,59.18,23.14
15/3/2017,311.60,45.49,107.06,59.99,23.26
14/3/2017,315.25,45.45,106.88,59.31,22.82
13/3/2017,318.89,46.32,105.62,59.34,22.88
10/3/2017,320.22,46.52,106.38,59.16,23.14
9/3/2017,320.78,46.67,105.80,59.26,22.85
8/3/2017,322.79,46.69,105.02,59.72,22.86
7/3/2017,322.79,46.95,107.37,60.74,22.77
6/3/2017,322.91,47.43,105.42,62.41,23.32
3/3/2017,314.87,46.94,105.70,62.90,23.14
2/3/2017,313.14,46.80,104.59,63.36,22.72
1/3/2017,322.45,46.48,104.98,61.89,23.36
28/2/2017,317.65,47.42,104.01,60.94,23.09
27/2/2017,313.04,47.33,105.02,61.44,24.52
24/2/2017,310.93,46.95,107.01,62.23,24.28
23/2/2017,305.47,47.66,106.82,63.03,23.90
22/2/2017,311.37,48.11,107.60,64.80,23.70
21/2/2017,317.94,48.11,108.60,66.94,23.95
20/2/2017,315.79,47.97,107.91,65.01,24.11
17/2/2017,319.81,47.56,107.01,64.33,23.87
16/2/2017,313.39,47.80,107.56,65.08,23.03
15/2/2017,310.72,47.36,107.82,64.51,22.95
14/2/2017,312.22,47.52,107.93,66.28,23.65
13/2/2017,315.00,48.30,108.92,66.20,23.90
10/2/2017,318.80,48.44,109.55,64.86,23.77
9/2/2017,315.48,47.23,110.00,63.13,23.13
8/2/2017,313.65,46.74,111.01,64.44,23.11
7/2/2017,305.10,47.03,112.97,63.82,23.10
3/2/2017,304.97,47.50,113.98,63.89,22.89
2/2/2017,304.16,46.56,114.83,63.31,22.74
1/2/2017,303.57,45.85,115.78,64.85,22.57
31/1/2017,302.13,46.23,115.81,62.54,21.88
30/1/2017,301.54,46.96,115.24,60.91,21.26
27/1/2017,301.52,47.46,115.65,61.68,20.88
26/1/2017,305.74,47.49,113.07,62.12,20.74
25/1/2017,313.47,48.38,115.26,64.56,20.52
24/1/2017,314.84,47.53,112.33,65.66,19.83
23/1/2017,309.12,46.84,109.39,62.86,19.72
20/1/2017,300.10,45.31,106.28,60.96,19.16
19/1/2017,295.44,46.55,106.69,60.42,19.65
18/1/2017,296.19,45.82,106.55,61.31,19.26
17/1/2017,303.92,45.80,106.25,59.57,20.21
16/1/2017,303.46,46.63,107.74,61.43,20.25
13/1/2017,304.34,46.51,109.71,61.89,20.20
12/1/2017,303.96,46.47,107.68,61.83,19.69
11/1/2017,304.92,46.49,106.09,59.98,19.97
10/1/2017,304.56,46.63,109.19,59.54,20.38
9/1/2017,296.10,46.30,113.87,57.43,20.15
6/1/2017,302.09,47.62,117.54,58.20,20.87
5/1/2017,306.71,47.29,115.61,59.49,21.00
4/1/2017,304.13,47.04,115.98,57.96,20.86
3/1/2017,298.99,46.44,116.69,57.43,21.50
2/1/2017,298.67,47.01,115.47,56.43,21.52
30/12/2016,298.67,47.01,115.47,56.43,21.52
29/12/2016,298.10,46.94,115.04,57.71,21.31
28/12/2016,298.12,45.17,113.09,57.74,21.11
27/12/2016,297.91,44.43,109.66,55.92,21.28
26/12/2016,295.74,44.79,109.44,55.77,21.26
23/12/2016,295.31,44.54,110.76,56.54,21.38
22/12/2016,296.98,44.66,108.99,55.54,21.67
21/12/2016,300.58,45.04,109.99,55.18,21.41
20/12/2016,301.28,44.90,109.56,55.24,21.68
19/12/2016,301.44,45.48,110.79,54.85,22.00
16/12/2016,298.75,45.75,110.91,56.63,22.60
15/12/2016,299.02,46.51,113.04,59.72,22.52
14/12/2016,303.21,46.83,112.98,61.02,22.34
13/12/2016,305.76,47.74,111.72,60.77,22.82
9/12/2016,307.30,47.36,109.29,63.20,22.33
8/12/2016,299.34,47.51,108.85,62.51,22.22
7/12/2016,300.71,47.21,108.12,61.08,22.88
6/12/2016,293.76,47.62,110.84,60.91,22.68
5/12/2016,294.90,46.21,106.78,61.28,22.64
2/12/2016,290.35,45.37,106.56,58.95,21.93
1/12/2016,300.59,46.83,106.86,57.50,21.62
30/11/2016,297.18,47.35,110.09,56.30,21.99
29/11/2016,302.71,47.34,113.72,57.43,22.54
28/11/2016,309.85,47.96,114.81,58.14,22.75
