"","qx","dx","px","lx"
"12",0.000396,396,0.999604,1e+06
"13",0.000427,426.830908,0.999573,999604
"14",0.00046,459.6214978,0.99954,999177.169130435
"15",0.000495,494.3651861,0.999505,998717.547676768
"16",0.000533,532.0529562,0.999467,998223.182363977
"17",0.000575,573.6723994,0.999425,997691.129391304
"18",0.000619,617.2157059,0.999381,997117.457027464
"19",0.000667,664.665661,0.999333,996500.24137931
"20",0.000718,715.0099433,0.999282,995835.575626741
"21",0.000773,769.2281973,0.999227,995120.565717982
"22",0.000833,828.2946642,0.999167,994351.33757503
"23",0.000897,891.1901695,0.999103,993523.042920847
"24",0.000966,958.8823697,0.999034,992631.852691512
"25",0.001041,1032.331562,0.998959,991672.970220941
"26",0.001121,1110.508156,0.998879,990640.638715433
"27",0.001207,1194.362868,0.998793,989530.130903065
"28",0.0013,1284.836498,0.9987,988335.767692308
"29",0.0014,1381.871304,0.9986,987050.931428571
"30",0.001508,1486.388942,0.998492,985669.059681698
"31",0.001624,1598.312658,0.998376,984182.671182266
"32",0.001749,1718.540043,0.998251,982584.358490566
"33",0.001884,1847.951202,0.998116,980865.818471338
"34",0.002029,1986.427252,0.997971,979017.866929522
"35",0.002186,2135.790728,0.997814,977031.440073193
"36",0.002354,2294.904358,0.997646,974895.649107901
"37",0.002535,2465.542888,0.997465,972600.744773176
"38",0.00273,2648.469101,0.99727,970135.201831502
"39",0.00294,2844.410994,0.99706,967486.732653061
"40",0.003166,3054.057591,0.996834,964642.321857233
"41",0.00341,3279.015981,0.99659,961588.264222874
"42",0.003672,3518.911559,0.996328,958309.248093682
"43",0.003954,3775.240991,0.996046,954790.336621143
"44",0.004258,4049.422277,0.995742,951015.095584782
"45",0.004585,4341.837612,0.995415,946965.673282443
"46",0.004938,4654.676501,0.995062,942623.835763467
"47",0.005317,4987.18202,0.994683,937969.159300357
"48",0.005725,5341.32182,0.994275,932981.977292576
"49",0.006164,5717.977,0.993836,927640.655418559
"50",0.006637,6118.800817,0.993363,921922.678469188
"51",0.007145,6543.418706,0.992855,915803.877676697
"52",0.007693,6994.94071,0.992307,909260.458858703
"53",0.008282,7472.563022,0.991718,902265.518232311
"54",0.008915,7977.079195,0.991085,894792.9551318
"55",0.009597,8510.771962,0.990403,886815.876002918
"56",0.01033,9072.891725,0.98967,878305.104065828
"57",0.011119,9664.992969,0.988881,869232.212339239
"58",0.011967,10286.44091,0.988033,859567.219018969
"59",0.012879,10937.88715,0.987121,849280.778787173
"60",0.01386,11619.43247,0.98614,838342.891053391
"61",0.014914,12329.75366,0.985086,826723.458495373
"62",0.016048,13069.39018,0.983952,814393.705134596
"63",0.017265,13834.8643,0.982735,801324.315088329
"64",0.018574,14626.82906,0.981426,787489.450845268
"65",0.01998,15441.79518,0.98002,772862.621621622
"66",0.02149,16276.97356,0.97851,757420.826430898
"67",0.023111,17128.57558,0.976889,741143.85271083
"68",0.024851,17992.50366,0.975149,724015.277453623
"69",0.02672,18864.92851,0.97328,706022.773577844
"70",0.028724,19737.92194,0.971276,687157.845007659
"71",0.030874,20605.92271,0.969126,667419.92323638
"72",0.03318,21461.28854,0.96682,646814.000602773
"73",0.035651,22294.44953,0.964349,625352.71184539
"74",0.0383,23097.13145,0.9617,603058.262402089
"75",0.041136,23857.28108,0.958864,579961.130882925
"76",0.044174,24565.33146,0.955826,556103.849775886
"77",0.047424,25207.6827,0.952576,531538.51847166
"78",0.050902,25773.2522,0.949098,506330.835723547
"79",0.054619,26247.57465,0.945381,480557.583441659
"80",0.058592,26618.93204,0.941408,454310.008874932
"81",0.062834,26873.54112,0.937166,427691.076805551
"82",0.067362,26999.87084,0.932638,400817.535702622
"83",0.07219,26985.89723,0.92781,373817.664912038
"84",0.077337,26822.92841,0.922663,346831.767588606
"85",0.082817,26502.17204,0.917183,320008.839247981
"86",0.088649,26019.07254,0.911351,293506.667193087
"87",0.09485,25371.19835,0.90515,267487.594623089
"88",0.101436,24559.31877,0.898564,242116.396249852
"89",0.108424,23588.40857,0.891576,217557.077492068
"90",0.115832,22467.77886,0.884168,193968.668934319
"91",0.123677,21210.71558,0.876323,171500.890060399
"92",0.131973,19834.2452,0.868027,150290.174505391
"93",0.140737,18359.97612,0.859263,130455.929286542
"94",0.149983,16812.48735,0.850017,112095.95320803
"95",0.159723,15218.96101,0.840277,95283.4658126882
"96",0.16997,13608.56388,0.83003,80064.5047949638
"97",0.180733,12010.78157,0.819267,66455.9409183713
"98",0.19202,10454.5595,0.80798,54445.1593584002
"99",0.203837,8966.911904,0.796163,43990.5998616542
"100",1,35023.68796,0,35023.68796
