"Var1" "Freq"
"1" "00" 1821467
"2" "01" 2063509
"3" "02" 1918351
"4" "03" 2102412
"5" "04" 2102284
"6" "05" 2175450
"7" "06" 2131181
"8" "07" 2113973
"9" "08" 2259402
"10" "09" 2295006
"11" "10" 2257124
"12" "11" 2273471
"13" "12" 2426812
"14" "13" 2447857
"15" "14" 2167547
"16" "15" 2329019
"17" "16" 2240387
"18" "17" 2264039
"19" "18" 2364875
"20" "19" 2193369
"21" "20" 2098288
"22" "21" 2000926
"23" "22" 2004637
"24" "23" 2058646
"25" "24" 1952283
"26" "25" 1774833
"27" "26" 1736437
"28" "27" 1776249
"29" "28" 1739779
"30" "29" 1656526
"31" "30" 1815221
"32" "31" 1498007
"33" "32" 1586502
"34" "33" 1757480
"35" "34" 1580831
"36" "35" 1602213
"37" "36" 1653025
"38" "37" 1716325
"39" "38" 1715666
"40" "39" 1721994
"41" "40" 1890405
"42" "41" 1673582
"43" "42" 1535852
"44" "43" 1673993
"45" "44" 1408599
"46" "45" 1510841
"47" "46" 1369441
"48" "47" 1353658
"49" "48" 1331792
"50" "49" 1364739
"51" "50" 1429700
"52" "51" 1244609
"53" "52" 1206827
"54" "53" 1207793
"55" "54" 1067337
"56" "55" 1053161
"57" "56" 1077455
"58" "57" 1055983
"59" "58" 952458
"60" "59" 864626
"61" "60" 898787
"62" "61" 769016
"63" "62" 754597
"64" "63" 837962
"65" "64" 684213
"66" "65" 732014
"67" "66" 601502
"68" "67" 523056
"69" "68" 623991
"70" "69" 489799
"71" "70" 564883
"72" "71" 490464
"73" "72" 449047
"74" "73" 480666
"75" "74" 404603
"76" "75" 395191
"77" "76" 344910
"78" "77" 334650
"79" "78" 301086
"80" "79" 260089
"81" "80" 245297
"82" "81" 216394
"83" "82" 173985
"84" "83" 226060
"85" "84" 155268
"86" "85" 162843
"87" "86" 136843
"88" "87" 108991
"89" "88" 98158
"90" "89" 79454
"91" "90" 71985
"92" "91" 44516
"93" "92" 35780
"94" "93" 47496
"95" "94" 28335
"96" "95" 21226
"97" "96" 19821
"98" "97" 47878
"99" "98" 34310
"100" "99" 1992
