"id_partido","id_equipo_v","id_equipo_l","marcador_v","marcador_l","semana","temporada","fecha_partido","hora_partido"
1,"SF","NYG",16,13,1,2002,"2002-09-05","8:38PM"
2,"SD","CIN",34,6,1,2002,"2002-09-08","1:04PM"
3,"NYJ","BUF",37,31,1,2002,"2002-09-08","1:04PM"
4,"MIN","CHI",23,27,1,2002,"2002-09-08","1:04PM"
5,"DET","MIA",21,49,1,2002,"2002-09-08","1:04PM"
6,"BAL","CAR",7,10,1,2002,"2002-09-08","1:04PM"
7,"IND","JAX",28,25,1,2002,"2002-09-08","1:04PM"
8,"ATL","GB",34,37,1,2002,"2002-09-08","1:04PM"
9,"KC","CLE",40,39,1,2002,"2002-09-08","1:04PM"
10,"ARI","WAS",23,31,1,2002,"2002-09-08","1:05PM"
11,"PHI","TEN",24,27,1,2002,"2002-09-08","1:06PM"
12,"NO","TB",26,20,1,2002,"2002-09-08","4:15PM"
13,"STL","DEN",16,23,1,2002,"2002-09-08","4:17PM"
14,"SEA","OAK",17,31,1,2002,"2002-09-08","4:17PM"
15,"DAL","HOU",10,19,1,2002,"2002-09-08","8:36PM"
16,"PIT","NE",14,30,1,2002,"2002-09-09","9:12PM"
17,"MIA","IND",21,13,2,2002,"2002-09-15","1:00PM"
18,"JAX","KC",23,16,2,2002,"2002-09-15","1:00PM"
19,"TB","BAL",25,0,2,2002,"2002-09-15","1:02PM"
20,"TEN","DAL",13,21,2,2002,"2002-09-15","1:02PM"
21,"CIN","CLE",7,20,2,2002,"2002-09-15","1:03PM"
22,"NE","NYJ",44,7,2,2002,"2002-09-15","1:03PM"
23,"DET","CAR",7,31,2,2002,"2002-09-15","1:04PM"
24,"GB","NO",20,35,2,2002,"2002-09-15","1:04PM"
25,"CHI","ATL",14,13,2,2002,"2002-09-15","1:04PM"
26,"NYG","STL",26,21,2,2002,"2002-09-15","3:05PM"
27,"DEN","SF",24,14,2,2002,"2002-09-15","4:00PM"
28,"ARI","SEA",24,13,2,2002,"2002-09-15","4:05PM"
