"","uno","dos","tres","cuatro","cinco","seis","siete","ocho","nueve","Y"
"1",27,71,3.34,11.4,8.8,11.7,21,15,59,921.87
"2",23,72,3.14,11,3.5,14.4,8,10,39,997.875
"3",29,74,3.21,9.8,0.8,12.4,6,6,33,962.354
"4",45,79,3.41,11.1,27.1,20.6,18,8,24,982.291
"5",35,77,3.44,9.6,24.4,14.3,43,38,206,1071.289
"6",45,80,3.45,10.2,38.5,25.5,30,32,72,1030.38
"7",30,74,3.23,12.1,3.5,11.3,21,32,62,934.7
"8",30,73,3.29,10.6,5.3,10.5,6,4,4,899.529
"9",24,70,3.31,10.5,8.1,12.6,18,12,37,1001.902
"10",27,72,3.36,10.7,6.7,13.2,12,7,20,912.347
"11",42,79,3.39,9.6,22.2,24.2,18,8,27,1017.613
"12",26,76,3.2,10.9,16.3,10.7,88,63,278,1024.885
"13",34,77,3.21,10.2,13,15.1,26,26,146,970.467
"14",28,71,3.29,11.1,14.7,11.4,31,21,64,985.95
"15",31,75,3.26,11.9,13.1,13.9,23,9,15,958.839
"16",46,85,3.22,11.8,14.8,16.1,1,1,1,860.101
"17",30,75,3.35,11.4,12.4,12,6,4,16,936.234
"18",30,73,3.15,12.2,4.7,12.7,17,8,28,871.766
"19",27,74,3.44,10.8,15.8,13.6,52,35,124,959.221
"20",24,72,3.53,10.8,13.1,12.4,11,4,11,941.181
"21",45,85,3.22,11.4,11.5,18.5,1,1,1,891.708
"22",24,72,3.37,10.9,5.1,12.3,5,3,10,871.338
"23",40,77,3.45,10.4,22.7,19.5,8,3,5,971.122
"24",27,72,3.25,11.5,7.2,9.5,7,3,10,887.466
"25",55,84,3.35,11.4,21,17.9,6,5,1,952.529
"26",29,75,3.23,11.4,15.6,13.2,13,7,33,968.665
"27",31,81,3.1,12,12.6,13.9,7,4,4,919.729
"28",32,74,3.38,9.5,2.9,12,11,7,32,844.053
"29",53,68,2.99,12.1,7.8,12.3,648,319,130,861.833
"30",35,71,3.37,9.9,13.1,17.7,38,37,193,989.265
"31",42,82,3.49,10.4,36.7,26.4,15,18,34,1006.49
"32",67,82,2.98,11.5,13.5,22.4,3,1,1,861.439
"33",20,69,3.26,11.1,5.8,9.4,33,23,125,929.15
"34",12,73,3.28,12.1,2,9.8,20,11,26,857.622
"35",40,80,3.32,10.1,21,24.1,17,14,78,961.009
"36",30,72,3.16,11.3,8.8,12.2,4,3,8,923.234
"37",54,81,3.36,9.7,31.4,24.2,20,17,1,1113.156
"38",33,77,3.03,10.7,11.3,12.4,41,26,108,994.648
"39",32,76,3.32,10.5,17.5,13.2,29,32,161,1015.023
"40",29,72,3.32,10.6,8.1,13.8,45,59,263,991.29
"41",38,67,2.99,12,3.6,13.5,56,21,44,893.991
"42",29,72,3.19,10.1,2.2,15.7,6,4,18,938.5
"43",33,77,3.08,9.6,2.7,14.1,11,11,89,946.185
"44",39,78,3.32,11,28.6,17.5,12,9,48,1025.502
"45",25,72,3.21,11.1,5,10.8,7,4,18,874.281
"46",32,79,3.23,9.7,17.2,15.3,31,15,68,953.56
"47",55,70,3.11,12.1,5.9,14,144,66,20,839.709
"48",48,63,2.92,12.2,13.7,12,311,171,86,911.701
"49",49,68,3.36,12.2,3,9.7,105,32,3,790.733
"50",40,64,3.02,12.2,5.7,10.1,20,7,20,899.264
"51",28,74,3.21,11.1,3.4,12.3,5,4,20,904.155
"52",24,72,3.34,11.4,3.8,11.1,8,5,25,950.672
"53",26,73,3.22,10.7,9.5,13.6,11,7,25,972.464
"54",23,71,3.28,10.3,2.5,13.5,5,2,11,912.202
"55",37,78,3.25,12.3,25.9,10.3,65,28,102,967.803
"56",32,81,3.27,12.1,7.5,13.2,4,2,1,823.764
"57",33,76,3.39,11.3,12.1,10.9,14,11,42,1003.502
"58",24,70,3.25,11.1,1,14,7,3,8,895.696
"59",33,76,3.22,9,4.8,14.5,8,8,49,911.817
"60",28,72,3.48,10.7,11.7,13,14,13,39,954.442
