Fecha,AEROMEX,ARA,ASURB,AUTLANB,AXTELCPO,BACHOCOB,BIMBOA,CEMEXCPO,CHDRAUIB,GCARSOA,GMEXICOB,GRUMAB,KIMBERA,KOF,LAMOSA,MEGACPO,MEXCHEM,MFRISCOA,PE¥OLES,VITROA
2/1/2012,23.690001,3.796092,67.681091,14.813923,4.47,20.37281,27.932566,5.95107,34.022575,31.163197,32.052685,25.602423,19.492064,84.310547,14.560045,25.521036,39.005634,50.610001,543.716003,11.409592
3/1/2012,23.290001,3.931322,67.171883,14.926138,4.44,20.053059,28.442213,6.01429,33.246689,31.163197,32.601864,25.775673,19.281502,84.609184,14.560045,25.032808,38.874435,51.48,541.510986,11.409592
4/1/2012,23.4,4.288714,69.087883,14.654858,4.41,19.952564,28.785244,6.12494,33.033325,32.199497,32.383938,26.093292,19.15823,85.329514,14.560045,24.944038,38.550556,52.360001,549.038269,11.409592
5/1/2012,23.5,4.134166,68.872124,14.402373,4.39,20.034784,28.638229,6.01429,32.984829,32.329033,32.131138,26.179918,19.384203,84.108505,14.560045,24.855272,37.762951,52.490002,538.411621,11.409592
9/1/2012,24.49,3.912003,69.346802,14.589397,4.28,19.833797,28.226591,5.7693,33.023621,32.449322,32.253185,26.661169,19.438131,84.319313,14.560045,24.944038,36.809021,52.849998,546.647217,11.507111
10/1/2012,25.43,3.921662,69.545303,14.776519,4.32,19.916018,28.471615,5.80881,32.868446,32.366047,33.037716,26.930664,19.674427,83.599022,14.560045,24.84639,36.957836,53.490002,550.809265,11.897182
11/1/2012,25.049999,3.960299,69.182816,14.963544,4.35,20.10787,28.618629,6.00639,32.645378,32.375305,33.682774,26.372417,19.723194,82.834801,14.560045,24.500193,37.089115,53.299999,551.694763,11.848423
12/1/2012,25.25,4.037573,71.513077,15.852007,4.35,20.190092,28.75584,6.12494,32.684174,32.615875,34.476044,26.420546,19.738604,83.792274,14.560045,24.411428,37.272816,53.5,549.038269,11.702147
13/1/2012,24.940001,3.902344,70.511925,15.431106,4.29,20.144415,27.932566,6.06171,31.714315,32.504845,33.918148,26.410917,19.466408,84.126068,14.560045,23.772293,37.019073,52.900002,540.182739,11.702147
16/1/2012,24.799999,3.902344,69.907784,15.290838,4.28,20.126144,27.932566,6.06962,31.724014,32.430817,34.170933,26.006668,19.258389,85.909256,14.560045,23.772293,37.264103,53.77,541.953796,11.848423
17/1/2012,24.9,3.863707,71.513077,15.421756,4.34,20.025648,27.932566,6.07752,31.607634,32.38456,34.380135,25.96817,19.260929,86.164009,14.560045,23.967583,37.211586,53.93,539.739929,11.994699
