semestre,,fecha_examen,egres,posponer,edad,carrera,universidad,promedio,tiempo,algebra,calculo,veces
4/8/2014,M,2/9/2016,1,0,27,MATEMATICAS,FC UNAM,8.3,6,5,9,0
4/8/2014,M,12/9/2017,1,0,22,MATEMATICAS,universidad autonoma de chiapas,8.72,4,8.2,8.5,0
4/8/2014,M,29/11/2018,1,0,23,MATEMATICAS,FC UNAM,9.06,3,4.2,6,0
4/8/2014,M,11/1/2017,1,0,23,ACTUARIA,FC UNAM,9.52,4,5.8,7.6,0
4/8/2014,M,,1,0,30,MATEMATICAS,FC UNAM,8.84,5,8.5,7.5,0
4/8/2014,M,5/12/2016,1,0,23,MATEMATICAS,FC UNAM,10,4,8,7.9,0
4/8/2014,M,22/5/2017,1,0,22,MATEMATICAS,FC UNAM,9.31,4,7,5.8,0
4/8/2014,M,,1,0,24,MATEMATICAS,FC UNAM,9.03,4,8,8.4,0
4/8/2014,M,1/9/2016,1,0,24,Ingenieria biomedica,Universidad de Guadalajara,9.8,5,7,9.5,0
4/8/2014,M,4/12/2017,1,0,23,MATEMATICAS,FC UNAM,9.56,5,4.2,5.2,0
4/8/2014,F,15/11/2016,1,0,27,MATEMATICAS,FC UNAM,9.09,5,4.1,7.1,0
4/8/2014,M,24/1/2017,1,0,22,MATEMATICAS,FC UNAM,9,4,4.3,8,0
4/8/2014,M,4/12/2017,1,1,,,,,,,,0
4/8/2014,M,12/6/2018,1,0,25,MATEMATICAS,FC UNAM,8.46,5,6.5,10,0
4/8/2014,M,31/1/2017,1,0,22,MATEMATICAS,FC UNAM,9.75,4,7.5,8,0
4/8/2014,M,7/2/2017,1,0,25,MATEMATICAS,FC UNAM,9.43,6,6.8,6.2,2
4/8/2014,M,8/9/2016,1,0,24,MATEMATICAS,Universidad Autónoma de Coahuila,9.37,4,6,7,0
4/8/2014,M,,0,0,31,MATEMATICAS,UAM I,8.29,6,4,5.3,0
4/8/2014,M,2/9/2016,1,0,28,MATEMATICAS APLICADAS,ITAM,8.4,5,6.5,6.4,0
4/8/2014,M,16/11/2017,1,0,23,MATEMATICAS,BUAP,9.63,5,7.9,8.5,0
4/8/2014,M,22/2/2018,1,0,30,MATEMATICAS,FC UNAM,9.34,8,8.3,7.9,2
4/8/2014,M,10/9/2019,1,0,25,MATEMATICAS,FC UAEM ,8.6,5,7.9,8.5,0
4/8/2014,F,24/10/2016,1,0,22,MATEMATICAS,UAZ,9.24,3,7.3,6.8,0
4/8/2014,M,1/9/2016,1,0,25,MATEMATICAS,FC UAEM ,10,4,10,7.2,0
4/8/2014,M,2/8/2017,1,0,29,MATEMATICAS,FC UAEM ,8.51,6,7,8,0
4/8/2014,F,24/3/2017,1,0,23,MATEMATICAS,FC UNAM,9.4,6,5.4,5,0
4/8/2014,F,8/9/2016,1,0,21,MATEMATICAS,FC UNAM,9.9,3,6,7.5,0
4/8/2014,M,24/8/2018,1,0,21,MATEMATICAS,FC UNAM,9.66,3,9.7,8.2,0
4/8/2014,M,,1,0,26,MATEMATICAS,FC UNAM,8.96,6,5.4,5,0
4/8/2014,M,19/10/2017,1,0,27,MATEMATICAS,BUAP,8.87,7,5,6.2,0
4/8/2014,M,31/1/2017,1,0,23,FISICA,FC UNAM,9.14,6,9.5,8.5,0
4/8/2014,M,20/2/2017,1,0,24,MATEMATICAS APLICADAS,UA Queretaro,9.47,4,7.5,7.5,0
26/1/2015,M,,1,0,22,ACTUARIA,FC UNAM,9.85,4,6,8.6,0
26/1/2015,M,8/12/2017,1,0,23,Ciencias Genómicas,Instituto de Biotecnología,9.81,3,7,5.2,0
26/1/2015,F,20/8/2019,1,0,30,MATEMATICAS,FC UNAM,9.25,4,8,8.7,0
26/1/2015,F,12/9/2017,1,0,28,MATEMATICAS,FC UNAM,8.81,6,7.5,8,0
26/1/2015,M,,0,0,22,ACTUARIA,FC UNAM,9.65,3,6,9.7,0
26/1/2015,M,22/5/2017,1,0,24,ACTUARIA,FC UNAM,9.24,4,4.3,9.6,0
26/1/2015,M,30/3/2017,1,0,24,MATEMATICAS,FC UNAM,8.75,3,6.1,8.1,0
26/1/2015,M,11/6/2019,1,1,22,MATEMATICAS,FC UNAM,8.5,,4.8,5,0
26/1/2015,M,,0,0,,MATEMATICAS,FC UNAM,9.09,5,4,8,0
26/1/2015,M,,1,0,24,MATEMATICAS,FC UNAM,8.25,4,9.3,8,0
26/1/2015,M,18/4/2018,1,0,24,MATEMATICAS,Universidad McGill,8.7,4,6.2,7.8,0
26/1/2015,M,27/7/2017,1,0,23,MATEMATICAS APLICADAS,Universidad Tecnológica de la Mixteca,8.8,5,7,7.8,0
26/1/2015,M,22/2/2017,1,0,23,MATEMATICAS,FC UNAM,9.31,4,10,8.9,0
26/1/2015,M,,1,0,22,ESTADISTICA,UACH,9,,6.4,9,0
26/1/2015,M,23/2/2017,1,0,26,MATEMATICAS,FC UNAM,9.84,4,9.8,8,0
26/1/2015,F,9/1/2019,1,0,24,MATEMATICAS APLICADAS,UAEH,8.41,6,4.4,5.9,0
26/1/2015,M,14/11/2018,1,0,27,MATEMATICAS,FC UNAM,9.12,6,5.9,8.4,2
26/1/2015,M,12/6/2017,1,0,26,MATEMATICAS,UAEM,8.9,5,5.3,6.8,0
