"id_equipo","id_estadio","proyecto_nuevo"
"ARI",1,"none"
"ATL",2,"none"
"BAL",3,"none"
"BUF",4,"none"
"CAR",5,"none"
"CIN",6,"none"
"CLE",7,"none"
"CHI",8,"none"
"DAL",9,"Cowboys Stadium"
"DEN",10,"none"
"DET",11,"none"
"HOU",13,"none"
"IND",14,"Lucas Oil Stadium"
"JAX",15,"none"
"MIA",17,"none"
"MIN",18,"Vikings Stadium"
"NYG",21,"NY Stadium"
"NYJ",21,"NY Stadium"
"OAK",22,"none"
"PHI",23,"none"
"PIT",24,"none"
"SEA",26,"none"
"STL",28,"none"
"TEN",30,"none"
"WAS",31,"none"
"CCM",36,"none"
"CEM",37,"none"
"CGP",38,"none"
"CHA",39,"none"
"CUM",40,"none"
"IPN",41,"none"
"ITQ",42,"none"
"MTY",43,"none"
"TOL",44,"none"
"UAC",45,"none"
"UAG",46,"none"
"UAM",47,"none"
"UAS",48,"none"
"UAT",49,"none"
"UCH",50,"none"
"UDL",51,"none"
"UEM",52,"none"
"UMM",53,"none"
"UNL",54,"none"
"UNM",55,"none"
"URM",56,"none"
"TEP",57,"none"
"UVM",58,"none"
"UVR",59,"none"
"KC",16,"none"
"SD",25,"Chargers Stadium"
"SF",27,"49ers Stadium"
"TB",29,"none"
"GB",12,"none"
"NE",19,"none"
"NO",20,"none"
