"","Entrenador","Equipo"
"1","Ken Whisenhunt","Arizona"
"2","Mike Smith","Atlanta"
"3","John Harbaugh","Baltimore"
"4","Dick Jauron","Buffalo"
"5","John Fox","Carolina"
"6","Cesar Martinez","ITESM"
"7","Enrique Borda","ITESM"
"8","Roberto Moreno","CGP"
"9","Genaro Arredondo","UACHA"
"10","Romeo Crennel","Chicago"
"11","Lovie Smith","Cincinnati"
"12","Marvin Lewis","Cleveland"
"13","Federico Landeros","CUM"
"14","Wade Phillips","Dallas"
"15","Mike Shanahan","Denver"
"16","Rod Marinelli","Detroit"
"17","Mike McCarthy","Green Bay"
"18","Gary Kubiak","Houston"
"19","Tony Dungy","Indianapolis"
"20","Jacinto Licea","IPN"
"21","Hector Ortiz","ITQ"
"22","Jack Del Rio","Jacksonville"
"23","Herman Edwards","Kansas City"
"24","Tony Sparano","Miami"
"25","Brad Childress","Minnesota"
"26","Frank Gonzalez","ITESM"
"27","Bill Bellichick","New England"
"28","Sean Payton","Nueva Orleans"
"29","Tom Coughlin","New York"
"30","Eric Mangini","New York"
"31","Lane Kiffin","Oakland"
"32","Andy Reid","Filadelfia"
"33","Mike Tomlin","Pittsburgh"
"34","Norv Turner","San Diego"
"35","Mike Nolan","Seattle"
"36","Mike Holmgren","San Francisco"
"37","Scott Linehan","San Luis"
"38","Jon Gruden","Tampa Bay"
"39","Jeff Fisher","Tennessee"
"40","Hector Rivera","UT"
"41","Adolfo Jamal","ITESM"
"42","Fernando Bravo","UAC"
"43","Manuel Rodero","UAG"
"44","Neri Fernandez","UAM"
"45","Leonardo Lujan","UAS"
"46","Miguel Rodriguez","UAT"
"47","Carlos Altamirano","UACH"
"48","Hector Cuervo","UDLA"
"49","Carmelo Vazquez","UAEM"
"50","Roberto Perez","UMM"
"51","Edmundo Reyes","UANL"
"52","Arturo Alonso","UNAM"
"53","Jesus Delgadillo","UR"
"54","Rafael Duk","UVM"
"55","Jose Luis Izquierdo","UV"
"56","Jim Zorn","Washington"
