"","Ciudad","Equipo","Total"
"1","Wasington","Washington",2497
"2","Nashville","Tennessee",2716
"3","Tampa Bay","Tampa Bay",2502
"4","Seattle","Seattle",3378
"5","St Louis","San Luis",2543
"6","San Francisco","San Francisco",2707
"7","San Diego","San Diego",3235
"8","Pittsburgh","Pittsburgh",3370
"9","Oakland","Oakland",2517
"10","New Orleans","Nueva Orleans",3451
"11","New York","New York",5490
"12","Foxboro","New England",4082
"13","Minneapolis","Minnesota",2980
"14","Miami","Miami",2532
"15","Kansas City","Kansas City",2899
"16","Jacksonville","Jacksonville",2417
"17","Indianapolis","Indianapolis",3394
"18","Houston","Houston",2725
"19","Green Bay","Green Bay",3595
"20","Philadelphia","Filadelfia",3149
"21","Detroit","Detroit",2696
"22","Denver","Denver",3290
"23","Dallas","Dallas",3064
"24","Cleveland","Cleveland",2143
"25","Cincinnati","Cincinnati",2834
"26","Chicago","Chicago",2793
"27","Charlotte","Carolina",2680
"28","Buffalo","Buffalo",2635
"29","Baltimore","Baltimore",3001
"30","Atlanta","Atlanta",3171
"31","Phoenix","Arizona",2847
