"","Carpeta","Canción","LMean","LVar","LMode","LMed","LRan","LEne"
"1","Banda","Adiós Amor.mp3",911.532658459638,1674267.68301466,73.5740661621094,554.677963256836,934.358596801758,117.728408312507
"2","Banda","Quién De Los Dos Será.mp3",503.177002467177,1291722.2929857,98.1330871582031,217.706680297852,332.250595092773,115.026038088517
"3","Instrumental","Indiana Jones.mp3",657.100720663066,962342.814950508,65.6661987304688,262.624740600586,916.545867919922,112.87922890203
"4","Instrumental","Star Wars.mp3",867.645283466727,990251.015941027,470.5810546875,509.204864501953,618.410110473633,113.263676530721
"5","Instrumental","Superman.mp3",783.360488657342,964666.316808044,393.316268920898,506.36100769043,539.937973022461,116.320070442829
"6","Japón","Hero's Come Back.mp3",816.878003383735,2478218.20472797,40.3011560440063,172.039568424225,736.66580915451,124.267016836278
"7","Japón","Parade.mp3",712.780784537371,2072512.44960735,86.1433267593384,261.526429653168,677.028930187225,119.959870192737
"8","Japón","Sobakasu.mp3",1551.21195222163,3874693.21417308,77.9054045677185,871.158957481384,2061.13654375076,116.744574227114
"9","Japón","The World.mp3",767.838039790491,1874026.50246586,98.4502673149109,196.711277961731,640.144908428192,122.742478151748
"10","Latina","Despacito.mp3",683.517070752527,1817224.57406925,47.4643707275391,209.003448486328,597.496032714844,116.275021100301
"11","Latina","El Perdedor.mp3",587.665218668736,1882093.29685785,131.275177001953,223.257064819336,431.316375732422,115.327270068023
"12","Metal","Highway To Hell.mp3",1134.94367630101,2852424.04481234,0.00525712966918945,474.666237831116,1430.48601150513,110.244761906861
"13","Metal","The Trooper.mp3",1096.955294734,2309876.77161015,164.234161376953,461.030960083008,1137.49694824219,115.053094029595
"14","Rock","Don't Let Me Down.mp3",379.671597614975,931873.037151537,92.3423767089844,164.577484130859,239.845275878906,117.232372011653
"15","Rock","Get Back.mp3",484.593494038732,1023537.49919855,111.122131347656,183.368682861328,442.777633666992,119.796912707041
"16","Rock","Let It Be.mp3",637.856053850172,999261.934553592,262.310028076172,390.781402587891,385.316848754883,114.126258957047
